ad_archive_id,ad_creative_bodies
6795509300551996,ДУИ ќе оди во опозиција и ќе одговораат за криминалот и корупцијата.
746708557578780,"СО МАКЕДОНСКАТА ПЛАТФОРМА ЌЕ СЕ СПРОТИСТАВИМЕ НА ТИРАНСКАТА И СОФИСКАТА ПЛАТФОРМА

🚩 Апасиев од Битола истакна дека пред  граѓаните стојат три платформи во изборот за претстојните Парламентарни избори: 

,,Имате три платформи. Првата платформа е Тиранска платформа зад која стојат необалистички партии на албанското малцинство без оглед дали е ДУИ, дали е коалиција ВРЕДИ - тоа е еден ист концепт, кој води кон разградување на државата. Втората платформа е Софиска платформа зад која што стојат македонските буржујски партии: СДС и ДПМНЕ. И третата платформа, која ние денес јавно ја обзнанивме - тоа е Македонска платформа во 5 точки за зачувување на територијалниот интегритет, суверенитет, унитарноста и државните инсигнии"".
Левица ќе коалицира со влада која ќе ги прифати црвените линии во одбрана на македонската држава.

На овие избори, македонскиот народ ќе стави крај на диктатите и поразите од режимот на СДС и ДУИ и повторно ќе ја возобнови Републиката!

#Заокружи5
#НеподмитливитеВоСобрание
#НемаВладаБезЛевица"
464195942757638,Движењето ЗНАМ за Наша Македонија е со јасен став дека е против отворање рудници во Струмичко. Не смее да се прави пазар со здравјето на луѓето. Но потребна е и истрага дали функционери на ДУИ правеле трговија со влијание.
1486306348587489,"Матрицата на СДС не се менува.
На ден - два до избори се посипуваат улици, се распишуваат тендери, како да после изборите доаѓа крајот на светот.
Да, крајот доаѓа, додуша крајот за СДС е веќе дојден. И тие многу добро го знаат тоа.

Зарем резултатот од првиот круг не ги освести, зарем не сфатија дека народот веќе им даде жолт картон и сите обиди за било каков поткуп веќе се неуспешни?

Народот не е со краткотрајната меморија!
Народот знае и памети дека СДС се зло за државата, дека СДС ја уништија, распарчија и продадоа Македонија!
Народот знае и го чувствува на своја кожа дното кое го допревме со СДС и ДУИ на власт!
Гласови повеќе нема да добијат, но барем граѓаните ќе искористат нешто од оваа криминална банда која е во заминување!

Излези, гласај за бр.2
Биди дел од промените!"
452695857159367,"“Ве замолувам, не го губете гласот. Гласот кој ќе заврши за листите кои нема да имаат пратеник, ќе заврши на контото на Али. Гласајќи за опцијата која на 24-ти немаше доволен број за пратеник, ќе гласате за пратеник плус да има ДУИ. Поддржете ја ВМРО-ДПМНЕ за пратеник повеќе, за спас на Македонија!”
- митинг во Брвеница, 29.04.2024 година."
1501205007127687,"АПАСИЕВ ОД БИТОЛА: НА ОВИЕ ИЗБОРИ ЌЕ ПОБЕДИ МАКЕДОНСКАТА ПЛАТФОРМА

👉 Денес, претседателот на Левица, Димитар Апасиев заедно со носителката на ИЕ5 Јована Мојсоска остварија средби со граѓаните на Битола. Широката поддршка за Левица во градот на Стив Наумов ја навестува сигурната пасокизација на СДС на 8-ми мај.

🚩 Апасиев од Битола порача дека на овие избори народот треба да избере помеѓу трите платформи: софиската, тиранската и МАКЕДОНСКАТА платформа! #Левица ќе коалицира со влада која ќе ги прифати црвените линии во одбрана на македонската држава.

➡️ Носителката на листа Јована Мојсоска дополнително истакна дека Левица подава рака до ВМРО-ДПМНЕ за да се спречи промена на Уставот и да се стави крај на уцените кои водат кон федерализација на државата.

⚠️ На овие избори, македонскиот народ ќе стави крај на диктатите и поразите од режимот на СДС и ДУИ и повторно ќе ја возобнови Републиката!

#Заокружи5
#НеподмитливитеВоСобрание
#НемаВладаБезЛевица"
1158822395115899,"ВМРО-ДПМНЕ партнерот ќе го бара во албанската опозиција, во партиите со кои ќе споделуваме исти вредности и принципи, а за ДУИ време е за опозиција и одговорност."
407235935408054,"За да не им успее бојкотот кој го планира ДУИ потребно е секој еден да поразговара со сите кои ги познава и сите да излезат на гласање. 

Останување дома не е опција на овие избори!"
3690376817908613,"Ова се историски избори, потребна е највисока излезност во историјата на парламентарните и претседателските избори!

Најголема поддршка за ВМРО-ДПМНЕ за:

- Сценарио на ДУИ за БОЈКОТ на претседателските избори ДА НЕ УСПЕЕ

- ВМРО-ДПМНЕ да има чист мандат за Влада која НЕМА да биде УЦЕНУВАНА од никого

Благодарам населба Тризла - Прилеп!

Референдумски на избори!"
1788018061722191,"Господине Лога, вие сте непозната личност, исто како вашиот труд за Македонија. 

Ако не бевте министер за правда, немаше јавноста да знае дека воопшто постоите. Но последиците од вашата неспособност се познати. Тие се бројат со најкатастрофалните извештаи за државата во поглед на правдата. 

Вие сте министер за правда кога довербата во судството е под 3%. 
Знаете зошто е така? 
Затоа што другар на Али од Зајас е Ислам Абази, првиот човек на организиран криминал, како и Бурим Сејдини, исто од Зајас, кој е претседател на Управниот суд. Претседателите на основните судови во Тетово и Кичево, Хасан Асани и Амдије Зенку се поранешни функционери и активисти на ДУИ. Во врховниот суд е и Шпенд Деваја, сопругот на поранешната градоначалничка Теута Арифи. 

Ова судство е на ДУИ. Затоа нема одговорност за ниту еден од ДУИ и нивните слуги од СДС.

Кога веќе лажно морализирате и си ја приграбувате идејата за Европска Македонија, да ве прашам, како е чувството да сте привезок на Али, да седите во неговиот скут и да зборите за Македонија?

Едното со другото не оди. 

Еден Палчо од Турција го екстрадирате како да го носите од месечината. Ете толку сте способни. 

Вашата пресуда доаѓа од народот на 8 мај. 
Колку вие подалеку од политика, толку повеќе Македонија повторно на народот."
