ad_archive_id,ad_creative_bodies
427480589881211,"Para disa ditëve në emisionin “Politiko” e kam thënë se ka tendenca nga qarqe anti shqiptare për prishjen e amnestisë dhe njollosjen e luftës për liri dhe barazi të UÇK-së. 
Po të njejtën gjë sot e vërtetoi nga goja e vet edhe kandidatja për Presidente e VMRO-DPMNE Gordana Siljanovska. 
A duhet ende dëshmi se beteja politike e VMRO-DPMNE është për të nënshtruar shqiptarët dhe jo për të vazhduar partneritetin e ndërtuar nga viti 2001!?
Prandaj është me rëndësi Fronti Europian të fiton mbi 22 mandate dhe “Siljanovskat” të mbesin vetëm kujtim i pllkateve dhe billbordave. 

🇪🇺Fronti Europian
✅Voto 4
🤝PO EUROPËS, ❌JO RUSISË!"
1636678057070325,"Промените се во твои раце!
Македонија повторно твоја!"
252100357930225,За многу години Цветници!!!
1117244869521215,"✒️Shkruan: @[100005900348509:2048:Enis Shaqiri]

📊🗳️Kandidatja opozitare Gordana Siljanovska-Davkova nga VMRO-DPMNE triumfoi në raundin e parë të zgjedhjeve presidenciale në Maqedoninë e Veriut të mbajtura më 24 prill. Siljanovska arriti të sigurojë një fitore bindëse, duke fituar 363.086 vota (40.08 %) apo 182.586 vota më shumë se Stevo Pendarovski, president aktual  i cili mori 180.500 vota (19.92%). 

📍Në bllokun politik shqiptar, Bujar Osmani nga Fronti Europian triumfoi kundrejt kundërkandidatit të tij Arben Taravari nga VLEN. Osmani mori 121.088 vota (13.37%), ndërsa Taravari mori 83.393 vota (9.20%). 

📌Vëmendja kryesore tani është e përqëndruar te vazhdimi i procesit zgjedhor, ku më 8 maj do të zhvillohet raundi i dytë i zgjedhjeve presidenciale së bashku me zgjedhjet parlamentare. Si pritet të zhvillohen këto  cikle zgjedhore? Cili do të jetë rezultati i epilogut përfundimtar, dhe çka pastaj?"
1595858924569626,"ИЗГУБЕНА Е ДОВЕРБАТА ВО ПОЛИТИЧАРИТЕ БИДЕЈЌИ НАРОДНАТА ВОЛЈА Е МНОГУПАТИ ИЗИГРУВАНА.

НИШТО НЕ ФУНКЦИОНИРА. МАКЕДОНИЈА Е ОДЗЕМЕНА ОД РАЦЕТЕ НА ГРАЃАНИТЕ, А ГРАЃАНИТЕ СО ПРАВО СЕ СКЕПТИЧНИ ДАЛИ МОЖЕ НЕШТО ДА СЕ ПРОМЕНИ.
ОВА Е ВАШЕ ВРЕМЕ, ВАШ ЖИВОТ И МОРАМЕ ДА СЕ ИЗБОРИМЕ ЗАЕДНО.

ПРОМЕНИТЕ СЕ МОЖНИ. НИЕ ВИ НУДИМЕ КОНКРЕТНИ ПРОЕКТИ И РЕШЕНИЈА ЗА ПОУБАВА МАКЕДОНИЈА, ЗА ПОУБАВ ВЕЛЕС.

ЈА БАРАМЕ ВАШАТА ПОДДРШКА ЗА ЦЕЛОСНА РЕКОНСТРУКЦИЈА НА ПАТНИОТ ПРАВЕЦ ОД ОТОВИЦА ДО МАМУТЧЕВО.

ПРОМЕНИТЕ СЕ ВО ТВОИ РАЦЕ!

МАКЕДОНИЈА ПОВТОРНО ТВОЈА!"
1826112547851414,"За реконструкција на автопатот Катланово-Велес!

За проектирање на нов експресен пат Велес-Чашка-Прилеп!

Ти одлучуваш!
За Македонија повторно да биде твоја!
2️⃣"
402145615942772,"Fjalimi i plotë nga tubimi i Frontit Europian në sheshin “Maqedonia”:

Nëse shkojmë me logjikën e Mickoskit dhe Siljanovskës sonte i bie që e kemi marë edhe Shkupin.
Të nderuar kryetarë të partive politike,
I nderuar kryeministër z.Talat Xhaferi
I nderuar kandidat presidencial z.Bujar Osmani
Të nderuar kandidat për deputet dhe shumë të dashur antar, aktivist dhe militant të partive politike të Frontit Europian.
Me lejoni që të shpreh falenderimet e mia për këtë prezencë kaq masovike e cila përkon me rëndësinë historike që po shkruan Fronti Europian në betejën politike të thyerjes së barierave dhe limiteve të eksluzivitetit shumë vjeçar që janë munduar të imponojnë partitë politike maqedonase si ndaj shqiptarëve ashtu edhe ndaj bashkësive etnike jo maqedonase.
Sheshi i Shkupi sonte duket më i bukur se asnjëherë më parë, kjo fotografi, kjo pamje është realiteti i Maqedonisë së Veriut. Ne nuk jemi këtu për të marë diçka nga dikush, po thjesht të demostrojmë kapacitetin tonë shoqëror për të menaxhuar me hisen që na takon në shtëpinë tonë.
Në thuajse dy javë fushatë për zgjedhjet Presidenciale kemi shpjeguar rëndësinë e këtyre zgjedhjeve dhe momentumin politik se pse ne u bashkuam në Frontin Europian, edhe pse për fat të keq partitë politike shqiptare në opozitë u munduan përmes propagandës të erët të na sulmojnë dhe degradojn.
E kemi thënë që ditën e parë se beteja jonë politike është kundër strukturave politike nacionaliste maqedonase të cilët edhe kur kanë problem me Greqinë fajin ua kanë shqiptarët, edhe kur kanë problem me Bullgarinë fajin e hedhin te shqiptarët, dhe këtë më mirë e dëshmoi para disa ditëve edhe Mickoski i VMRO-DPMNE i cili bëri thirrje publike që të pamundësohet në zonën numër 3 Fronti Europian të ketë deputet, pa e menduar fare se me këtë thirrje ai dëshiron të kthen kohën e majorizimit jo vetëm kundër shqiptarëve por edhe kundër turqve, boshnjakëve dhe romëve.
Dhe kur pyesin opozitarët se çka na bëri bashk me Ali Ahmetin duhet t’ua thoni se na bënë bashk thirrjet anti shqiptare të partnerit të tyre strategjik Mickoskit, i cili na detyroj që ne të bashkohemi dhe kështu të bashkuar si sonte në këtë shesh të japim mesazhin që as Mickoski as mentorët e tij në linjën Beograd-Moskë por as vasalët e tij që i mbanë koalicion nëpër komuna nuk mund të gjynjëzojnë shqiptarët kur janë bashk.
Andaj, të dashur vëllezër dhe motra, të ndihemi krenar që jemi pjesë e kësaj faqe të re të historisë që po e shkruajmë. Të bëjmë thirrje gjithandej, të trokasim në çdo derë dhe me 24 Prill të thyejmë rekordin e votave me kandidatin tonë Bujar Osmani dhe me këtë të dëshmojmë në vepër slloganin tonë PO EUROPËS, JO RUSISË.
Pas fitores të 24 Prillit, ti hapim krahët për të pranuar afër vetes edhe vëllezrit tonë që për momentin janë të manipuluar me propagandën e disa kryetarëve komunal, dhe t’u themi se vendin e kanë këtu me ne në Frontin Europian, dhe bashkë me ata të festojmë fitoren më 8 Maj, fitoren e shqiptarëve dhe gjithë qytetarëve të këtij vendi.
Të votojmë numrin 4, t’i themi PO EUROPËS, JO RUSISË.
Ju faleminderit dhe na priftë e mbara."
1463429004244655,"На Македонија не и треба претседател како Пендаровски измеќар на Али Ахмети, туку достоен претседател како што  професорката Гордана Силјановска Давкова!"
392857170323758,"На изборите на 8ми мај гласајте за број 2, за најголемата победа во изборната единица 2, за многу проекти и подобра иднина за сите луѓе!"
403410729140623,"Само една има вистина 
 има една Македонија 
 делете ја, парчете ја 
 пак ќе биде наша најмила.... 
 Македонци наглас запејте 
 македонско оро играјте 
 мајка мила спомнете ја 
 жива била Македонија."
451213887311061,
449885880937883,"Владата предводена од СДСМ се покажа како добар партнер на бизнис заедницата!

Поддржавме 919 домашни компании со над 100 милиони евра, а тие инвестираа над 500 милиони евра и отворија 5.000 работни места.

Во следните 4 години оваа поддршка ќе ја удвоиме на над 180 милиони евра, а нашата економија ќе добие преку милијарда евра инвестиции.

Во следниот мандат ќе инвестираме и 3,5 милијарди евра во развој на високонапонската електрична мрежа, како и во 400 капитални проекти за подобрување на општинската инфраструктура низ Македонија.

Нема да се задолжуваме за расплакани врби и фасади од стиропор како што тоа го правеше ВМРО ДПМНЕ 11 години, не ви ветуваме празни зборови, туку зголемена помош а веќе докажавме дека знаеме како да го направиме тоа!

----------------------------------------------------------

Qeveria e udhëhequr nga LSDM-ja u tregua partner i mirë i komunitetit të biznesit!

Mbështetëm 919 kompani vendore me mbi 100 milionë euro, të cilat investuan mbi 500 milionë euro dhe krijuan 5000 vende pune.

Në 4 vitet e ardhshme do ta dyfishojmë këtë mbështetje në mbi 180 milionë euro dhe ekonomia jonë do të marrë mbi një miliard euro investime.

Në mandatin e ardhshëm do të investojmë edhe 3,5 miliardë euro në zhvillimin e rrjetit elektrik të tensionit të lartë, si dhe në 400 projekte kapitale për përmirësimin e infrastrukturës komunale në mbarë Maqedoninë.

Nuk do të marrim hua për shelgje vajtuese dhe fasada stiropori siç bëri VMRO-DPMNE për 11 vite, ne nuk premtojmë fjalë boshe, por rritje të ndihmës që tashmë e kemi dëshmuar!"
1458502418376190,"Taravari i pari, në çdo sondazh, sepse populli është përcaktuar për ndryshimin. VLEN do të jetë fituesi dhe @[100044411046937:2048:Arben Taravari] kandidati fitues.✅

#VLEN
#NdryshimiVLEN
#TaravariPresident6"
416623077647589,"Велес е подготвен за ПРОМЕНИ!!!
Велес со огромна поддршка за Проф. Гордана Сиљановска Дафкова.
Македонија повторно горда!
Македонија повторно твоја!"
781983880567260,Време е повторно да бидеме горди на својот претседател!
1887851201662604,"✅МЛАДИТЕ СЕ КЛУЧЕН СТОЛБ ЗА ИДНИНАТА НА МАКЕДОНИЈА!

📍Парк, Ѓорче Петров!

👉Горд сум на младите луѓе! Тие ми даваат енергија и инспирација, добивам многу предлози и идеи кои со задоволство ќе бидат инкорпорирани во голем дел од проектите се со цел да им овозможиме на младите светла и сигурна иднина. 
Младите од Ѓорче Петров се авангарда и промените што сите сакаат да ги видат. Со нив заедно ќе бидеме дел од промените кои носат надеж и подобри услови за живот!

➡️Промените зависат од сите нас!
✅Промените започнуваат на 24 април со победа на Гордана Силјановска Давкова и ВМРО-ДПМНЕ!"
1560850158037025,"Овие избори се последна шанса за спас на Македонија, со голема излезност на изборите да им покажеме на ДУИ И СДС каде им е местото!"
1970074723389277,"💪 ☀️ ИМАЈТЕ УБАВ ДЕН МАКЕДОНИЈО!
#македонијаповторнотвоја 
#МакедонијаПовторноГорда 
#македонијаповторносвоја"
1116312722921043,"Победничкиот караван го започнавме вечерва во два победоносни комитети, МК Тунел и МК Керамидна заедно со @[100063889660044:2048:Игор Здравковски] и @[100047001469974:2048:Рашела Мизрахи].
 Силно мотивирани, ентузијастички, инспирирани за промени.
 Во Велес уште сега се чувствува победничка атмосфера. Велес мириса на победа. 
Промените се во наши раце. 
Македонија повторно ќе биде горда!"
1927068471043142,"Kjo është betejë ndërmjet vizionit të bashkëjetesës dhe #integrimit, që e përfaqëson fronti më i madh multietnik në vend, dhe vizionit të izolimit dhe urrejtës që e përfaqëson VMRO DPMNE-ja."
