ad_archive_id,claims
988735132879405,"{""Claims"": [""There is no giving up on destiny"", ""SDSM"", ""Aerodrome"", ""Macedonia""]}"
1138731707263665,"{""Claims"": [""SVM is the only party prepared to fight for citizens and the future of the state."", ""We are united and strong, we have endured time and weather, good and bad, and always been on the guard of the homeland."", ""It's not an option for us to give up. We're a party made of solid material.""]}"
1462600661315120,"{""Claims"": [""SVM is the only party ready to fight for citizens and for the future of the state."", ""We are united and strong, we have endured time and weather, good and bad, and we have always been on the barricades for the homeland."", ""The SVM party is made of tough material. Renunciation is not an option for us.""]}"
1168468637617703,"[""It's not too late to change the direction. The SDSM is the only party that is ready to fight for citizens and for the future of the country."", ""We are united and strong, having endured both good and bad times, and we have always been on the barricades for the homeland."", ""We call upon all progressive forces to vote FOR a progressive Macedonia on May 8th.""]"
1366791877252741,"{""Claims"": [""We need strong support from our strategic partners and friends on our path to full EU membership."", ""Only SDSM and the European Identity Coalition, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country along the European path."", ""There is no giving up on European identity! (It translates roughly as 'No surrender from European identity!')""]}"
322751967223848,"{""Claims"": [""Eurovision membership requires strong strategic partner support."", ""SDSM and the European-minded coalition, led by President Stevo Pendarovski, are best equipped to lead the country on the European path."", ""There is no turning back from Europe!""]}"
456735526881991,"{""Claims"": [""We're seeking major support from our strategic partners and friends on our path to full membership in the EU"", ""Only SDSM and the European Identity Coalition, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country along the European path"", ""The vote for SDSM and the European Identity Coalition and for Stevo Pendarovski is a vote for the country's European identity""]}"
788562043220491,"{""Claims"": [""Macedonia has no reserve homeland"", ""Macedonia must become an European country"", ""There is no surrender from the future""]}"
1868951333621553,"{""Claims"": [""The choice is between hope and despair!"", ""We want every citizen of North Macedonia to stay and build their future here, in our country."", ""Election on 24 April and 8 May: Let's surround the number 1 and vote for our president Stevo Pendarovski, SDSM, and the Coalition for European Future.""]}"
441160645064798,"{""Claims"": [""Average salary will reach a record high of 1,100 euros in the next four years."", ""The minimum pension will be 20,000 denars in 2028, with an average pension of 30,000 denars."", ""No specific figure or time frame is mentioned for the direct support and capital investments for domestic companies.""]}"
2103884769993693,"{""Claims"": [""Together we are united for our common goal, European future of our country"", ""There is no giving up on the future!"", ""All together with SDSM, Coalition for European Identity and our President Stevo Pendarovski to show that we are all united in our common goal""]}"
1131480398052261,"{""Claims"": [[""The Smart Airport project worth 10.7 million euros was signed on March 25, 2024.""], [""There is no clear explanation of how the project will improve efficiency and boost innovation and start-up businesses mentioned by Timco Mu\u00e7unski.""], [""A feasibility study for justifying the establishment of a public-private partnership has not been presented to the Council.""]]}"
