ad_archive_id,claims_to_questions
988735132879405,"{""\u041d\u0435\u043c\u0430\u041e\u0442\u043a\u0430\u0436\u0443\u0432\u0430\u045c\u044cOd\u0418\u0434\u043d\u0438\u043d\u0430\u0442\u0430"": {""Questions"": [{""question"": ""What are the key attributes that the next President of North Macedonia should possess?"", ""search_results"": []}, {""question"": ""How do the presidential candidates differ in their promises and slogans?"", ""search_results"": [""In those days, the candidate receiving the second-highest vote became the vice president. In a scheme to deny Adams the presidency, Alexander Hamilton\u00a0..."", ""Jan 11, 1989 ... Well, back in 1980, when I was running for President, it was all so different. Some pundits said our programs would result in catastrophe. Our\u00a0..."", ""The Campaign and Election of 1912. Although Woodrow Wilson was convinced that God had destined him to be president, it took all his political skill and a good\u00a0...""]}, {""question"": ""What specific policies or initiatives do the seven aspirants for the presidency promise to implement if elected?"", ""search_results"": [""Nov 6, 2024 ... Donald Trump is set to return to the White House, having promised action on issues including immigration, the economy and the war in Ukraine."", ""We do not account for possible changes in GDP resulting from the candidates ... In some cases, we looked to specific policies in past President's budgets and\u00a0..."", ""\"" Republicans touted Roosevelt's record in foreign policy and promised more of the same. Neither Roosevelt nor Parker actively campaigned for the presidency\u00a0...""]}]}, ""The SDSM is..."": {""Questions"": [""What is the SDSM?"", ""What are the attributes that the next President of North Macedonia should possess?"", ""What promises and slogans do the presidential candidates offer to attract voters?""]}, ""Macedonia"": {""Questions"": [""What is the current situation regarding the presidential election in North Macedonia?"", ""Are there any specific requirements for the next president of North Macedonia, as mentioned in the claim?"", ""Who are the seven candidates competing for the presidency in North Macedonia's election?""]}}"
1138731707263665,"{""SDSM is the only party ready to fight for citizens and the future of the state."": {""Questions"": [{""question"": ""Is the claim 'SDSM is the only party ready to fight for citizens and the future of the state' supported by factual evidence?"", ""search_results"": [""state any child support they get in the future. The ... REBUTTAL - Evidence presented at trial by one party in order to overcome evidence introduced by."", ""DEPARTMENT OF JUSTICE 28 CFR Part 35 [CRT Docket No. 105; AG Order No. 3180\u2013 2010] RIN 1190\u2013AA46 Nondiscrimination on the Basis of Disability in State and\u00a0..."", ""Jan 31, 2024 ... A large body of research indicates that fact-checking can be an effective way to correct false beliefs about specific claims, especially for\u00a0...""]}, {""question"": ""What specific attributes should the next President of North Macedonia possess, according to the author Enis Shaqiri?"", ""search_results"": []}, {""question"": ""What are the concrete offers made by the presidential candidates Biljana Vankovski, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?"", ""search_results"": []}]}, ""The party has endured time and weather, good and bad, and has always been on guard for the homeland."": {""Questions"": [""Is the party mentioned in the claim a political party?"", ""What are the specific promises and slogans offered by the presidential candidates?"", ""What is the relevance of the phrase 'homeland' to the context of the presidential election?""]}, ""It's not an option for us to give up; SDSM is a party made of solid material."": {""Questions"": [""What is the context of the claim that SDSM is a party made of solid material?"", ""Who are the candidates vying for the presidency of North Macedonia, and what promises have they made?"", ""What specific attributes should the next President of North Macedonia possess, according to the author?""]}}"
1462600661315120,"{""SOSM is the only party ready to fight for citizens and the future of the state."": {""Questions"": [{""question"": ""Is the claim that SOSM is the only party ready to fight for citizens and the future of the state supported by any evidence or credible sources?"", ""search_results"": [""Note: In March 2023, DPIC learned of one additional death sentence that was imposed in 2022: Leo Boatman, a white male defendant, was sentenced to..."", ""Dec 4, 2024 ... Chairing the Select Subcommittee for the 118th Congress has been my honor. I said from the beginning, this work is the single most impactful\u00a0..."", ""Mar 3, 2025 ... DHS Acronyms, Abbreviations, and Terms (DAAT) List ; ARIES. Airborne Rapid Imagery for Emergency Support. | FEMA | ; ARIO. Advanced Radiation\u00a0...""]}, {""question"": ""What are the specific promises or slogans being offered by the presidential candidates Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?"", ""search_results"": []}, {""question"": ""Are there any notable differences in the policies or agendas being presented by the seven aspirants vying for the presidency?"", ""search_results"": [""... important to keep in mind that there are nuances within each party's policies. ... be passed by the Senate in the first round without any changes being made."", ""Jun 26, 2018 ... That said, some exit polls suggest that candidates' views on health policy can affect election outcomes. Campaign plans also help set the agenda\u00a0..."", ""There are also some additional differences that are significant, most notably ... Congress recognized there might well be confusion and also provided in\u00a0...""]}]}, ""We are united and strong, we have endured time and weather, good and bad, and always been on the barricades of the homeland."": {""Questions"": [""What does the claim mean by 'the barricades of the homeland'? Is it referring to a specific location or situation?"", ""How do the presidential candidates' promises and slogans differ from one another?"", ""What are the specific qualifications or attributes that the next President of North Macedonia should have, according to the author?""]}, ""SOSM is a party made of solid material. Renunciation is not an option for us."": {""Questions"": [""What evidence is presented to support the claim that SOSM is a party made of solid material?"", ""What is the significance of Renunciation not being an option for SOSM, and how does it relate to the presidential election in North Macedonia?"", ""What specific promises or slogans are being offered by the candidates Biljana Vankovsk\u00ebn, Maksim Dimitrievski, and Stef\u00e7e Jakimovski in their presidential campaigns?""]}}"
1168468637617703,"{""It is not too late to change direction."": {""Questions"": [{""question"": ""Why is it 'not too late to change direction'?"", ""search_results"": [""I've always been told to dream big and have gone through many ups and downs working toward these goals, but at some point I decided to change my direction."", ""Changing direction is just letting us know that we have the power to turn around an choose another path that will not lead us to a dead end but to a road of\u00a0..."", ""Feb 26, 2025 ... But remember, just because you've been on the wrong train for a while doesn't mean it's too late to get off, change direction, and start a new\u00a0...""]}, {""question"": ""What specific attributes should the next President of North Macedonia possess, according to the author?"", ""search_results"": [""Jan 12, 2023 ... Kosovo, North Macedonia and Montenegro have been mostly in line with Western democracies. ... attributes and subattributes. While no country\u00a0..."", ""We offer this analysis with humility, knowing that invariably the future will unfold in ways that we have not foreseen. Although Global Trends is necessarily\u00a0..."", ""Readers of the report will recog- nize some of the ongoing challenges democracies face but also observe new cases where agents have reclaimed democracy and.""]}, {""question"": ""What are the main promises and slogans offered by the seven presidential candidates in the upcoming election?"", ""search_results"": [""The Republican platform promised continued prosperity with lower taxes, a ... FDR's Democratic Party would win the next four presidential elections and\u00a0..."", ""Presidential Primary Election: An election at which a political party's voters are given an opportunity to express their preferences for the party's\u00a0..."", ""In those days, the candidate receiving the second-highest vote became the vice president. In a scheme to deny Adams the presidency, Alexander Hamilton\u00a0...""]}]}, ""SDSM is the only party ready to fight for citizens and the future of the state."": {""Questions"": [""Is SDSM the only party that has taken a stance on fighting for citizens and the future of North Macedonia?"", ""What are the key qualifications required for the next President of North Macedonia, according to the claim?"", ""Do the candidates vying for the presidency in North Macedonia have concrete plans or proposals for the country's future?""]}, ""We will not give up our future, we will unite and be strong."": {""Questions"": [""What is the meaning of 'We will not give up our future'?"", ""What are the key attributes that a presidential candidate should possess to lead North Macedonia?"", ""What are the main promises and slogans offered by the candidates in the presidential election?""]}}"
1366791877252741,"{""We are striving for great support from our strategic partners and friends on our path to full membership in the EU."": {""Questions"": [{""question"": ""Why does the claim mention 'strategic partners and friends' in relation to EU membership?"", ""search_results"": [""Russia is in the midst of a hopeful transition, reaching for its democratic future and a partner in the war on terror. Chinese leaders are discovering that\u00a0..."", ""Russia\u2013European Union relations are the international relations between the European Union (EU) and Russia. Russia borders five EU member states: Estonia,\u00a0..."", ""Mar 20, 2024 ... ... are not bound to come to the other's defense. Nevertheless, their emerging strategic partnership has caused alarm in Washington. During a\u00a0...""]}, {""question"": ""What is the main dilemma facing the upcoming presidential election in North Macedonia?"", ""search_results"": [""Mar 6, 2024 ... Eyeing Victory, North Macedonia's Opposition Faces Post-Election Dilemma. The presidential candidate of the biggest opposition VMRO DPMNE\u00a0..."", ""Oct 30, 2024 ... protest against the delayed election of a new member of the State Election ... and presidential election period, based on a public notice issued\u00a0..."", ""... next presidential election is scheduled. Free and fair elections. '06 '24 10 1 ... primary political parties in North Macedonia. SDSM is a reformed social\u00a0...""]}, {""question"": ""What specific promises or slogans are being offered by the candidates in the ongoing presidential election?"", ""search_results"": [""In those days, the candidate receiving the second-highest vote became the vice president. ... becoming President was the general mood of the country."", ""Mar 2, 2022 ... John F. Kennedy was elected president in one of the closest elections in United States history. Kennedy's popular vote margin over Nixon was\u00a0..."", ""In a private meeting, Truman proposed that he and Eisenhower run together on the Democratic ticket, with Eisenhower as the presidential candidate and Truman in\u00a0...""]}]}, ""The only ones who have leadership ambitions and knowledge to lead the country along the European path are SDSM, the Alliance for European Identity, and President Stevo Pendarovski"": {""Questions"": [""Does the claim suggest that SDSM and Alliance for European Identity are the only parties with leadership ambitions and knowledge to lead the country along the European path?"", ""Is it implied that President Stevo Pendarovski has the necessary qualifications or attributes to be a leader in the future?"", ""Are there any specific promises or slogans offered by the candidates vying for the presidency, beyond just appealing to the electorate?""]}, ""There is no surrender to European identity!"": {""Questions"": [""What is the topic of the presidential election in North Macedonia?"", ""Who are the candidates running for president in North Macedonia's election?"", ""What are the key issues or promises that the candidates are making to voters?""]}}"
322751967223848,"{""Only SDSM and the Alliance for European Perspective, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country on the European path."": {""Questions"": [{""question"": ""What are the specific leadership qualities that a future President of North Macedonia should possess?"", ""search_results"": [""Aug 24, 2020 ... I was born and raised in Skopje, North Macedonia, and for as long as I can remember, the Jewish community has been a part of my life."", ""Jul 25, 2023 ... Trinity delegates and North Macedonian coaches pose for a photo with President Beasley and San Antonio ... leadership skills that these\u00a0..."", ""Nov 19, 2019 ... So I will not pre-announce what we will publish then, but we will have updated and new figures for you in a few days before the NATO Leaders\u00a0...""]}, {""question"": ""How do the candidates running for the presidency differ in their campaign promises and slogans?"", ""search_results"": [""Wilson's men then promised Underwood that if Wilson withdrew, their support would go to the Alabamian. ... his running mate, Vice President Thomas R."", ""Jan 11, 1989 ... Well, back in 1980, when I was running for President, it was all so different. ... They'd promise to treat their own people and the people of the\u00a0..."", ""In those days, the candidate receiving the second-highest vote became the vice president. In a scheme to deny Adams the presidency, Alexander Hamilton\u00a0...""]}, {""question"": ""What are the key issues or challenges that the next president of North Macedonia will face, and how do the current candidates plan to address them?"", ""search_results"": [""Global. Trends reflects the National Intelligence Council's perspective on these future trends; it does not represent the official, coordinated view of the US\u00a0..."", ""Three candidates are competing to succeed the current president, Joko ... The next leader will face the challenges of boosting growth in an economy\u00a0..."", ""Oct 30, 2024 ... protection of intellectual property needs to step up its activity to address the key challenges related to IPR. The 2021-2026 intellectual\u00a0...""]}]}, ""We are confident to step forward on the path of European integrations with clear and unequivocal support."": {""Questions"": [""What is the context of the statement 'We are confident to step forward on the path of European integrations with clear and unequivocal support.'?"", ""In what specific aspects do the presidential candidates differ from each other?"", ""Who are the seven aspirants vying for the position of President, mentioned in the article?""]}, ""The vote for SDSM and the Alliance for European Perspective and for Stevo Pendarovski is a vote for the country's European perspective."": {""Questions"": [""Why is the vote for SDSM and the Alliance for European Perspective and for Stevo Pendarovski considered a vote for the country's European perspective?"", ""What are the key promises and slogans being offered by presidential candidates Biljana Vankovska, Maksim Dimitrievski, Stef\u00e7e Jakimovski, and others?"", ""Are there any notable differences in the platforms or agendas of the seven presidential aspirants competing in the election?""]}}"
456735526881991,"{""We're aiming for major support from our strategic partners and friends on our path to full EU membership."": {""Questions"": [{""question"": ""What is the specific goal mentioned in the claim about seeking support from strategic partners?"", ""search_results"": [""Sep 3, 2024 ... ... Strategy expands and deepens regional partnerships (Objective 5). Canada will seek to reinforce its influence among partners and allies in\u00a0..."", ""I created this list of strategic objective examples to help you think through the various types of objectives that may work best in your organization. You'll\u00a0..."", ""Mar 11, 2025 ... ... strategic foreign and security policy objective. In 2019, a ... support selected partner countries, including Ukraine. Under the CAP\u00a0...""]}, {""question"": ""Who are the candidates competing for the presidency of North Macedonia, as mentioned in the article?"", ""search_results"": [""May 6, 2024 ... More than 1,700 candidates are competing for the unicameral parliament's 120 seats. ... North Macedonia has been cited by both the European\u00a0..."", ""North Macedonia \u00b7 Norway \u00b7 Oman \u00b7 Pakistan \u00b7 Palau \u00b7 Palestinian Territories \u00b7 Panama ... The presidential candidate also chooses a running mate (Vice\u00a0..."", ""Apr 24, 2024 ... EU member Bulgaria has said it will otherwise block North Macedonia's bloc membership bid. North Macedonia has been a candidate to join the\u00a0...""]}, {""question"": ""What are the aspirants' main promises and slogans being offered to the electorate during the election campaign?"", ""search_results"": [""Mar 2, 2022 ... ... on behalf of Republican candidates. ... His success in many urban and industrial states gave him a clear majority of 303 to 219 in the electoral\u00a0..."", ""Lincoln was successful in laying the groundwork for his candidacy, since by the spring of 1860, many politicians were indebted to Lincoln for his support."", ""A great campaign slogan connects with voters. Here are political slogans for mayor, sheriff, school board, city council, state legislature, president and\u00a0...""]}]}, ""Only SDSM and the Alliance for European Identity, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country along the European path."": {""Questions"": [""Is the claim that only SDSM and the Alliance for European Identity, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country along the European path supported by evidence?"", ""What are the specific promises and slogans offered by the presidential candidates?"", ""Do the seven presidential aspirants mentioned in the article share similar qualities or qualifications to lead the country?""]}, ""There is no giving up on European identity!"": {""Questions"": [""How does the statement relate to European identity?"", ""What are the specific promises and slogans being offered by the presidential candidates?"", ""What is the main dilemma facing the future president of North Macedonia?""]}}"
1868951333621553,"{""Election is between hope and hopelessness."": {""Questions"": [{""question"": ""What is the claimed nature of the election between hope and hopelessness?"", ""search_results"": [""Jan 12, 2022 ... Misinformation has been identified as a major contributor to various contentious contemporary events ranging from elections and referenda to\u00a0..."", ""Dec 13, 2022 ... Alongside lack of education, the lack of livelihood opportunities is among the most cited reasons for growing despair among Rohingya refugees."", ""There comes a time when the cup of endurance runs over, and men are no longer willing to be plunged into the abyss of despair. I hope, sirs, you can understand\u00a0...""]}, {""question"": ""Who are the presidential candidates in the Macedonian North election, and what promises do they offer?"", ""search_results"": [""Apr 24, 2024 ... ... presidential election in Skopje, North Macedonia April 24, 2024. ... Information you can trust. Reuters, the news and media division of\u00a0..."", ""Apr 25, 2024 ... ... presidential election in 2019, led a crowded field of seven candidates. ... The DUI has offered its backing in the second round on condition that\u00a0..."", ""May 7, 2024 ... On May 8, North Macedonia will vote in parliamentary and presidential elections that will determine whether the country keeps its pro-EU course.""]}, {""question"": ""What specific attributes should the next President of North Macedonia possess according to the author?"", ""search_results"": [""Jan 12, 2023 ... Kosovo, North Macedonia and Montenegro have been mostly in line with Western democracies. ... attributes and subattributes. While no country\u00a0..."", ""We offer this analysis with humility, knowing that invariably the future will unfold in ways that we have not foreseen. Although Global Trends is necessarily\u00a0..."", ""Readers of the report will recog- nize some of the ongoing challenges democracies face but also observe new cases where agents have reclaimed democracy and.""]}]}, ""We want every citizen of North Macedonia to stay and build their future here, in our country."": {""Questions"": [""Why is the claim mentioning North Macedonia's citizens wanting to stay and build their future there?"", ""What are the candidates promising to the electors during this presidential election campaign?"", ""What specific qualities or attributes should the next president of North Macedonia possess, according to the dilemma mentioned in the claim?""]}, ""Let's not give up on the future and together let's fight for a better future for all."": {""Questions"": [""What is the main focus of the statement?"", ""Who are the candidates running for President of North Macedonia?"", ""What is the current situation with regards to the presidential election in North Macedonia?""]}}"
2103884769993693,"{""There is no backing down from the future!"": {""Questions"": [{""question"": ""What is the specific attribute that the next President of North Macedonia should possess?"", ""search_results"": [""Jan 12, 2023 ... In the tripartite presidency of BiH, Republika Srpska's president ... Kosovo, North Macedonia and Montenegro have been mostly in line with Western\u00a0..."", ""Feb 26, 2021 ... The 22-member committee has identified eight attributes they believe a successful candidate will have. \u201cIf we can find a candidate who checks\u00a0..."", ""Rapidly reducing methane emissions from energy, agriculture, and waste can achieve near-term gains in our efforts in this decade for decisive action and is\u00a0...""]}, {""question"": ""What are the main promises and slogans being offered by presidential candidates?"", ""search_results"": [""Aug 7, 2024 ... We take a focused look at what the Republican presidential nominee is promising right now on the campaign trail."", ""... Logos and slogans \u2022 Key staffers \u2022 Vice presidential candidates \u2022 Policy positions \u2022 Ballotpedia's presidential election coverage index. Primaries. Democratic\u00a0..."", ""Jefferson approached the 1800 presidential election well organized for victory and determined to win. One factor that elevated Jefferson's chances of becoming\u00a0...""]}, {""question"": ""When did the presidential election campaign officially start?"", ""search_results"": [""Feb 25, 2025 ... ... become a U.S. president - from announcing the intention to run, to Inauguration Day. Find out when the next presidential election will be."", ""Voters could choose among the Federalists, Democratic-Republicans, Democrats, Whigs, and finally, in 1854, Republicans. Presidential candidates initially did\u00a0..."", ""Kennedy, formally announces his presidential campaign in a launch event in Boston. April 20: Larry Elder, radio host, attorney, and candidate in the\u00a0...""]}]}, ""We are all united in our common goal, European orientation of our country"": {""Questions"": [""How many presidential candidates are running in the North Macedonia election?"", ""What is the main goal that these candidates are striving for?"", ""In what ways do these candidates differ from each other?""]}, ""Together with SDSM, Coalition for European Orientation and our President Stevo Pendarovski to show that we are all united in our common goal"": {""Questions"": [""Is the claim stating that a coalition is formed to show unity in a common goal accurate?"", ""Are there indeed multiple candidates running for the presidential election of North Macedonia, as mentioned in the article?"", ""Do the provided candidate details (age and party affiliation) match with publicly available information?""]}}"
681075687418692,"{""Residents witnessed the appearance of large snakes in urban areas."": {""Questions"": [{""question"": ""What evidence supports the claim that residents witnessed the appearance of large snakes in urban areas?"", ""search_results"": [""Jan 24, 2023 ... They said they'd only agree to let me park my camper there if I paid them basically what it'd cost to rent an apartment in my area. That was way\u00a0..."", ""Evidence supports the notion that children with and without disabilities ... Attorney areas and witness stands. The 1991 Standards do not require that\u00a0..."", ""Apr 6, 2025 ... I'm stunned at the lack of info regarding the bodies being found along with missing people in the area. 1 mo. 9.""]}, {""question"": ""What is the specific issue being debated in the Macedonian presidential election campaign?"", ""search_results"": [""May 9, 2024 ... North Macedonia's presidential run-off and parliamentary elections were competitive and an extensive and pluralistic campaign helped voters to make an informed\u00a0..."", ""Apr 24, 2024 ... And with the general elections, which hold higher stakes, being held in parallel, a lot of the debate in the presidential campaign has focused\u00a0..."", ""Overview. One Year Before the Elections. Candidates from the two main political parties the Democrats and the Republicans begin their campaign trails.""]}, {""question"": ""What are the main promises and slogans offered by the candidates in the Macedonian presidential election?"", ""search_results"": [""Apr 24, 2024 ... ... presidential election in Skopje, North Macedonia April 24, 2024. REUTERS/Ognen Teofilovski. [1/15]Supporters of North Macedonia's biggest\u00a0..."", ""In 2001 Macedonia could look back to regular general presidential, parliamentary and local government elections, where a number of parties or candidates ran\u00a0..."", ""May 7, 2024 ... On May 8, North Macedonia will vote in parliamentary and presidential elections ... \"" Both Mickoski and presidential candidate Siljanovska\u00a0...""]}]}, ""The presence of such large snake populations in urban areas poses a threat to our children who may come into contact with them while playing around buildings or at playgrounds."": {""Questions"": [""What evidence supports the claim that large snake populations in urban areas pose a threat to children?"", ""Do snake encounters in urban areas actually occur, and if so, what are the frequencies and contexts of these events?"", ""Is there empirical research on the actual risks or consequences of snakes being present in urban playgrounds or buildings?""]}, ""The dynamics of grass cutting on urban surfaces in Aerodrom, the number of locations that have been mowed so far, and whether all grassy surfaces will be mowed peacefully within the territory of Aerodrom are being questioned."": {""Questions"": [""Is there a specific issue with grass cutting on urban surfaces in Aerodrom?"", ""Are all locations that have been mowed peaceful within the territory of Aerodrom?"", ""Do presidential candidates in North Macedonia's presidential election promise similar things to each other?""]}}"
