ad_archive_id,claims_to_questions
1501205007127687,"{""Macedonian people will win the platform"": {""Questions"": [""What is the current situation with the presidential election in North Macedonia?"", ""Who are the main candidates running for president, and what promises have they made?"", ""Do the candidates' slogans and promises actually address the key issues facing North Macedonian people?""]}, ""The government should prioritize red lines in defense of the Macedonian state"": {""Questions"": [""What is the current political situation in North Macedonia that necessitates prioritizing 'red lines' in defense of the state?"", ""What are the key promises and slogans being offered by presidential candidates to attract voters?"", ""What specific qualities or attributes do the seven presidential aspirants bring to the table, including Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}, ""The regime of SDS and DUI has been dictatorial and needs to be ended"": {""Questions"": [""What is the definition of a 'dictatorial' regime in the context of SDS and DUI?"", ""How do the presidential candidates' promises and slogans differ from each other, and what are their main campaign issues?"", ""Are there any notable differences between the seven aspirants running for President of North Macedonia, beyond their age and party affiliations?""]}}"
1867634487041320,"{""A lot of damage can be prevented by stopping the small evil."": {""Questions"": [""What is the relationship between 'stopping small evil' and damage prevention?"", ""How do the presidential candidates in North Macedonia plan to achieve their goals?"", ""What are the key promises and slogans offered by the seven aspirants competing for the presidency?""]}, ""Youthful and inexperienced individuals should not be allowed to represent the people."": {""Questions"": [""How is 'youthful and inexperienced' defined in the context of political representation?"", ""What specific characteristics or qualifications should a president have, according to the author?"", ""What are some common campaign promises and slogans that candidates often make during presidential elections?""]}, ""The state needs to intervene in agriculture to ensure a stable food supply."": {""Questions"": [""How does the claim that 'the state needs to intervene in agriculture to ensure a stable food supply' relate to the topic of presidential elections in North Macedonia?"", ""What evidence supports or contradicts the claim that state intervention is necessary for a stable food supply, and what are some potential consequences of this approach?"", ""In what ways might the claim about state intervention in agriculture impact agricultural policy or the overall economy of North Macedonia?""]}}"
767405418873659,"{""Macedonia is a long and wide work, started ages ago, left for us to preserve."": {""Questions"": [[""What is the historical context behind the phrase 'Macedonia is a long and wide work, started ages ago, left for us to preserve'?""], [""What are the primary campaign promises made by Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski in their presidential bids?""], [""Can you name the seven presidential candidates who began campaigning on April 4th, including Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]]}, ""The ideology of patriotism teaches you from your grandmother!"": {""Questions"": [""What is the ideology of patriotism and how does it relate to grandmothers?"", ""What are the primary qualifications that a future President of North Macedonia should possess?"", ""What specific promises and slogans have the presidential candidates offered in their campaigns?""]}, ""The death of fascism, the freedom of the people! They have not given up yet. The battle is not over! We are tasked with building a more beautiful Macedonia."": {""Questions"": [""What is the current state of fascism?"", ""Are there still ongoing battles for freedom and human rights?"", ""What are the key attributes that a future President of North Macedonia should possess?""]}}"
893383299467824,"{""Every given vote for SDS is thrown into the drain."": {""Questions"": [""What does the phrase 'Every given vote for SDS is thrown into the drain' mean?"", ""Who are the candidates running in the presidential election of North Macedonia?"", ""What specific promises and slogans are being offered by the candidates in the election?""]}, ""We are committing to the left values and we will not participate in another project like NDS, which is presented as center-left. That means we promise left, we act the same - just like SDS promised progressive taxation to left voters and ended up at the center of the flat tax!"": {""Questions"": [""What is the primary value that this person is committing to?"", ""How does the speaker's previous promise (SDS and progressive taxation) relate to their current claim of not participating in another project like NDS?"", ""What specific promises or slogans are being offered by the presidential candidates mentioned in the article?""]}, ""We will not participate in another project that is represented as center-left."": {""Questions"": [""What is the political affiliation represented by the project mentioned in the claim?"", ""What are the promises and slogans offered by the candidates in the presidential election?"", ""What specific attributes should the next President of North Macedonia possess, according to the author?""]}}"
7319438911509170,"{""The establishment of a unified national consensus to prevent the ongoing undermining of the Republic of North Macedonia"": {""Questions"": [""What is the current state of the Republic of North Macedonia?"", ""What are the main promises and slogans being offered by presidential candidates?"", ""When did the presidential election campaign start in North Macedonia?""]}, ""The country should be organized into one electoral unit and bans on monolithic and ethnically pure parties"": {""Questions"": [""What is the claim saying about the organization of the country?"", ""Is it true that candidates are offering a wide range of promises and slogans in the presidential election?"", ""What do the candidates being mentioned (Biljana Vankovsk\u00eb, Maksim Dimitrievski, Stef\u00e7e Jakimovski) actually offer?""]}, ""There is no room for the historical commission's revisions of Macedonian anti-fascist history and a decisive 'no' to the inclusion of Bulgarians in the Constitution"": {""Questions"": [""What is the historical commission's role in revising Macedonian anti-fascist history?"", ""Does the Constitution explicitly mention Bulgarians?"", ""What are the concrete promises and slogans offered by the presidential candidates?""]}}"
425810480149541,"{""Artn Grubi is dissolving the contract with Sinohydro for the Kichevo-Ochrid highway, allegedly for personal gain through Bechtel and Enka as his project"": {""Questions"": [""Is Artn Grubi dissolving the contract with Sinohydro for personal gain?"", ""Are there any connections between Bechtel and Enka and Artn Grubi's project?"", ""Is the dissolution of the contract with Sinohydro related to Artn Grubi's involvement in the Kichevo-Ochrid highway project?""]}, ""\u0408\u043e\u0432\u0430\u043d\u0430 \u041c\u043e\u0458\u0441\u043e\u0441\u043a\u0430 is a carrier of Electoral Unit 5 from the Political Party of the Left"": {""Questions"": [""Is Jovana Mojsoska a verified public figure or politician?"", ""Does the statement mention any specific party or political affiliation apart from 'Political Party of the Left'?"", ""Are there seven presidential candidates mentioned in the passage, including Biljana Vankovski, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}, ""She [\u0408\u043e\u0432\u0430\u043d\u0430 \u041c\u043e\u0458\u0441\u043e\u0441\u043a\u0430] was a guest on TERA TV"": {""Questions"": [""What is the relationship between \u0408\u043e\u0432\u0430\u043d\u0430 \u041c\u043e\u0458\u0441\u043e\u0441\u043a\u0430 and TERA TV?"", ""What are the main concerns of the presidential candidates in North Macedonia?"", ""What is the date when the presidential election campaign started?""]}}"
357373326807448,"{""PAN is a highly advanced AI-driven cybersecurity platform that detects and prevents attacks before they occur."": {""Questions"": [""What evidence is there to support the claim that PAN detects and prevents attacks before they occur?"", ""How does PAN's AI-driven technology compare to other cybersecurity platforms in terms of detection and prevention capabilities?"", ""What specific features or functionalities does PAN offer to detect and prevent attacks, and how do these features differ from those offered by other cybersecurity solutions?""]}, ""Ariston is an innovative solution for automated penetration testing, which helps organizations test their defenses and identify vulnerabilities."": {""Questions"": [""What is the main purpose of Ariston in terms of automated penetration testing?"", ""Is there any evidence that organizations using Ariston have identified vulnerabilities with it, and if so, what kind of vulnerabilities were they?"", ""Can you provide concrete information on what specific features or benefits Ariston offers for automated penetration testing?""]}, ""Metron is a cutting-edge threat intelligence platform that provides real-time insights into emerging threats and empowers organizations to stay ahead of the curve."": {""Questions"": [""Is Metron a cutting-edge threat intelligence platform that provides real-time insights into emerging threats and empowers organizations to stay ahead of the curve?"", ""What is the key attribute that the next President of North Macedonia should possess? This is the dilemma dominating the presidential election arena."", ""Are there concrete offers from the seven aspirants vying for the presidency in North Macedonia, including Biljana Vankovska (64) from e Majta, Maksim Dimitrievski (48) from ZNAM, and Stef\u00e7e Jakimovski (63) from GROM?""]}}"
1173874757308369,"{""No compensation will be taken from the assembly"": {""Questions"": [""What is the assembly referring to in the claim?"", ""Do presidential candidates in North Macedonia offer a wide range of promises and slogans to attract voters?"", ""Who are the seven aspirants running for President in North Macedonia, as mentioned in the article?""]}, ""Unwavering in the committee"": {""Questions"": [""What is the claim being made about the next President of North Macedonia?"", ""What are the characteristics that a presidential candidate should possess, according to the text?"", ""What is the main issue facing the presidential election in North Macedonia, according to the author?""]}, ""Power without left is not allowed"": {""Questions"": [""What is the minimum requirement for the next President of North Macedonia?"", ""What are the main campaign promises made by the presidential candidates in North Macedonia?"", ""Are there any notable differences between the presidential candidates in North Macedonia?""]}}"
786931613090911,"{""Macedonian Platform in five points"": {""Questions"": [""Is the Macedonian Platform a specific set of requirements for the next president of North Macedonia?"", ""What are the main promises and slogans being offered by presidential candidates in the 2023 election?"", ""Do any specific characteristics or qualifications need to be possessed by the next president of North Macedonia, as mentioned in the platform?""]}, ""Response to 'moratorium on attacks'"": {""Questions"": [""Is the claim that a moratorium on attacks is being proposed by presidential candidates in North Macedonia accurate?"", ""What specific promises or slogans are being offered by the seven presidential aspirants competing for the office of President in North Macedonia?"", ""Do any of the presidential candidates being mentioned (Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski) have a clear policy on responding to attacks, if so what is it?""]}, ""Unwavering in the Assembly"": {""Questions"": [""What is the current political situation in North Macedonia that creates a dilemma for the next president?"", ""How do the presidential candidates plan to achieve their goals and what specific promises are they making to voters?"", ""What are the main qualifications or attributes required for the next president of North Macedonia, according to different perspectives?""]}}"
767605835352373,"{""Not submissive in the Assembly"": {""Questions"": [""What is the current state of the presidential election in North Macedonia?"", ""What are the key issues that candidates Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski are promising to address?"", ""What specific attributes should a future President of North Macedonia possess?""]}, ""No power without left"": {""Questions"": [""What is the requirement for the next President of North Macedonia?"", ""What are the main promises and slogans being offered by presidential candidates?"", ""When did the presidential election campaign in North Macedonia start?""]}, ""Surround 5"": {""Questions"": [""What is the presidential election process in North Macedonia?"", ""What are the key attributes that a future president of North Macedonia should possess?"", ""Who are the seven candidates vying for the presidency, and what specific promises do they offer?""]}}"
