ad_archive_id,ad_creative_bodies
1501205007127687,"АПАСИЕВ ОД БИТОЛА: НА ОВИЕ ИЗБОРИ ЌЕ ПОБЕДИ МАКЕДОНСКАТА ПЛАТФОРМА

👉 Денес, претседателот на Левица, Димитар Апасиев заедно со носителката на ИЕ5 Јована Мојсоска остварија средби со граѓаните на Битола. Широката поддршка за Левица во градот на Стив Наумов ја навестува сигурната пасокизација на СДС на 8-ми мај.

🚩 Апасиев од Битола порача дека на овие избори народот треба да избере помеѓу трите платформи: софиската, тиранската и МАКЕДОНСКАТА платформа! #Левица ќе коалицира со влада која ќе ги прифати црвените линии во одбрана на македонската држава.

➡️ Носителката на листа Јована Мојсоска дополнително истакна дека Левица подава рака до ВМРО-ДПМНЕ за да се спречи промена на Уставот и да се стави крај на уцените кои водат кон федерализација на државата.

⚠️ На овие избори, македонскиот народ ќе стави крај на диктатите и поразите од режимот на СДС и ДУИ и повторно ќе ја возобнови Републиката!

#Заокружи5
#НеподмитливитеВоСобрание
#НемаВладаБезЛевица"
7394298730619070,"АПАСИЕВ ОД ШТИП: ЕДИНСТВЕН БРАНИТЕЛ ПРОТИВ БУГАРИТЕ ВО УСТАВ ЌЕ БИДЕ ЛЕВИЦА 

🗯️ Апел до граѓаните да заокружат 5 и да дадат што поголем број пратеници на Левица со цел да дадат поголема шанса на млади, неподмитливи луѓе во Собранието - ова е една од пораките на претседателот Апасиев, вечерва од Штип.

,,Целта на Левица на овие Избори е да го кутне сдс под 20 и, конечно, да ја пасокизираме сдс. Тоа се прогнозите, тоа се реалните очекувања и оваа теренска кампања тоа го покажува"", истакна Апасиев.

Она што се случи на Претседателските избори, за Левица е очекуван резултат, со оглед на тоа дека со претседателски кандидат се учествува првпат. 

,,На Парламентарните очекуваме солиден резултат со којшто ќе овозможиме моќта на уценување од албанските необалистички партии да премине, конечно, во македонскиот блок и ние да бидеме оние коишто ќе го држат курсот на македонизмот наспроти сите антимакедонски сили коишто сакаат да внесуваат Бугари во Устав, коишто сакаат да воведуваат дводомни парламенти, да менуваат Устав со кој ќе се бришат 20% и ќе влегува друг официјален јазик... Против сето тоа единствен бранител ќе биде Левица"", истакна Апасиев. 

Левица пред штипјани ја претстави и својата програма, којашто е единствена различна од сите други програми. 

,,Само ние имаме програма со централно планирање, затоа што ние имаме Централна планска агенција, којашто треба да ја развие државата рамномерно, тоа што никој друг го нема. Со силни државни капацитети планираме сите дистрибутивни мрежи да ги национализираме. Јас зборувам за електродистрибутивната мрежа, за нафтената мрежа, зборувам за интернетот итн. Целта е и обичниот човек да види бенефит"", рече носителот на ИЕ3, Борислав Крмов од Штип. 

На народниот собир се обрати и Александар Симонов, коносител на листа на ИЕ3: 

,,Планираме воведувањето на прогресивниот данок, како и ограничувањето на каматните стапки, укинувањето на извршителите останува една од главните определби кои имаме намера да ги воведеме со цел да ги заштитиме работниците, кои најчесто се класа на луѓе кои страдаат од овие неправди"".

#Заокружи5
#НемаВладаБезЛевица
#НеподмитливитеВоСобрание"
1867634487041320,"АПАСИЕВ ОД ПРИЛЕП: ДОСТА Е ОД ГЛАСАЊЕ ЗА ПОМАЛОТО ЗЛО, ТРЕБА ДА СПРЕЧИМЕ ШТЕТНИ ПОЛИТИКИ 

,, Во програмата имаме 13 поглавја кои го опфаќаат секој аспект од општественото живеење. Главната порака до граѓаните е да го заокружат бројот 5 на гласачкото ливче и да дозволат млади неподмитливи луѓе да ги застапуваат, бидејќи доста ни е од веќе видени пратеници и од веќе видено гласање за помалото зло. На тој начин ќе спречиме многу штетни политики"", рече Апасиев.

Носителот на кандидатската листа на пратеници во четвртата изборна единица Сашко Јанчев рече дека главните негови заложби се насочени во земјоделството и стопанството, заговарајќи
договорно, сигурно земјоделско производство и отворање државни профитабилни фирми. Се нудат реални, но радикални мерки зашто без нив нема промени.

- Земјоделството мора да биде планско. Планираме да се пополнуваат стоковите државни резерви строго со домашно производство, со однапред склучени договори за земјоделците да имаат некаква сигурност во производството. Планираме фиксни откупни цени, државни откупни центри за да не можат прекупците да ја местат цената како што ним им одговара, ладилници за складирање на произведената храна од кои ќе се снабдуваат Армијата, градинките, училиштата, болниците. Мерките, генерално ни се насочени кон државна интервенција во земјоделството, а не да биде оставено стихијно. Во стопанството планираме рестартирање или отворање државни профитабилни фирми во секоја стратешка стопанска гранка, рече Јанчев при претставувањето во Прилеп.

,,Оние ĸои ме следат знаат деĸа мојата досегашна битĸа беше во ĸавадаречĸиот совет ĸаде влегов на штотуĸу наполнети 22 години! Успеав да спречам низа погубни урбанистичĸи планови, да ĸажам работи до тогаш неĸажани во советничĸата сала!
Од таму и мојата подготвеност да тргнам во борба за пратеничĸи ангажман. Јас сум
фармацевт ĸој работи во ИТ индустријата, верувајте, не сум во политиĸа за да заработувам, туĸу со моите другари да направам промена во овој заĸоравен
опортунистичĸи систем!"", истакна кандидатот за пратеник во ИЕ4, Круме Богевски."
767405418873659,"🚩 ПРЕМИЕРА на нов предизборен спот за Парламентарни избори 2024

💥 „Многумина пред нас живееја во духот на борбата. Смрт на фашизмот, слобода на народот! И тие сѐ уште не се откажуваат. Борбата не е завршена! Поубава Македонија е наша задача, на сите генерации. Патриотизмот е идеологија, но тоа е и домашно воспитување што го учиш од баба ти! Аманет од претците. Македонија е долга и широка работа, започната одамна, оставена на нас да ја сочуваме.“

#НеподмитливитеВоСобранието
#НемаВладаБезЛевица
#Заокружи5
#ПарламентарниИзбори2024"
893383299467824,"ДО ГЛАСАЧИТЕ НА СДС:

💬 ,,Ние го носиме знамето на АСНОМ и на партизаните! Секој даден глас за СДС е фрлен во бунар. Ги повикуваме да гласаат за нашата опција за да се задржи левиот контингент - да не учестуваат во уште еден проект како НСДП, во движења кои се претставуваат како центар-лево. Тоа значи ветуваме лево, дејствуваме исто - како што СДС ветуваше прогресивен данок на левите гласачи и заврши во центарот на рамниот данок! Ние тоа не сме, ние ги ветуваме левичарските вредности.""

🔸️ Од дебатата на Канал77:"
7319438911509170,"ЛЕВИЦА СО ОДГОВОР ДО ДПМНЕ И СИТЕ МАКЕДОНСКИ ПАРТИИ: АЈДЕ ДА ПОТПИШЕМЕ „МАКЕДОНСКА ПЛАТФОРМА“ И ТАКА ДА ГИ ЗАПРЕМЕ УЦЕНИТЕ НА НЕОБАЛИСТИЧКИТЕ ПАРТИИ ОД АЛБАНСКОТО МАЛЦИНСТВО

📌Ја објавуваме јавната понуда на Левица за потпишување Македонска платформа во ПЕТ ТОЧКИ од страна на сите промакедонски политички партии, со цел утврдување национален консензус заради превенција од постојните уцени при составување Влада, кои доаѓаат од партиите на албанското малцинство (потписници на т.н. Тиранска платформа) – а со единствена цел да се запре понатамошното разградување на Република Македонија и нејзино претворање во полупротекторат:

1. УНИТАРНОСТ - надминување на федералниот, консоцијациски бинационален модел на држава и напуштање на заостанатиот апартхејд-модел за гетоизација на етничките заедници и националните малцинства;

2. ТЕРИТОРИЈАЛЕН ИНТЕГРИТЕТ И СУВЕРЕНИТЕТ - oрганизирање на Република Македонија во една изборна единица и забрана на монолитни и чисто етнички партии;

3. ИДЕНТИТЕТ - распуштање на т.н. Историски комисии за ревидирање на македонската антифашистичка историја и одлучно „не“ за внесувањето на Бугарите во Уставот;

4. СЕКУЛАРНОСТ - строго одделување на верските заедници и религиозни групи од државата и јавните институции и нивно одданочување;

5. ДРЖАВНИ ИНСТИГНИИ - строга контрола и надзор над правилната употреба на државните симболи (грбот, знамето и химната) од страна на државните органи, општините и приватните субјекти при сите прослави и манифестации.

#НеподмитливитеВоСобранието"
425810480149541,"🚩”Артан Груби бара раскинување на договорот со Sinohydro за автопатот Кичево-Охрид, за личен профит преку Бехтел и Енка како негов проект!“ 
- Јована Мојсоска носител на Изборна единица 5 од Политичката Партија Левица. 

🔻Во нејзиното гостување како Носител на ИЕ5 на ТЕРА ТВ.✊

#НеподмитливитеВоСобранието 
#Заокружи5 
#НемаВладаБезЛевица"
357373326807448,PAN METRON ARISTON
1173874757308369,"ИЗБОРИТЕ СЕ НАШАТА ОДМАЗДА

#НеподмитливитеВоСобранието
#НемаВладаБезЛевица
#Заокружи5"
786931613090911,"МАКЕДОНСКА ПЛАТФОРМА во пет точки... Одговор на ""мораториумот на напади"".

#НеподмитливитеВоСобранието"
