ad_archive_id,claims
988735132879405,"{""Claims"": [""\u041d\u0435\u043c\u0430\u041e\u0442\u043a\u0430\u0436\u0443\u0432\u0430\u045c\u044cOd\u0418\u0434\u043d\u0438\u043d\u0430\u0442\u0430"", ""The SDSM is..."", ""Macedonia""]}"
1138731707263665,"{""Claims"": [""SDSM is the only party ready to fight for citizens and the future of the state."", ""The party has endured time and weather, good and bad, and has always been on guard for the homeland."", ""It's not an option for us to give up; SDSM is a party made of solid material.""]}"
1462600661315120,"{""Claims"": [""SOSM is the only party ready to fight for citizens and the future of the state."", ""We are united and strong, we have endured time and weather, good and bad, and always been on the barricades of the homeland."", ""SOSM is a party made of solid material. Renunciation is not an option for us.""]}"
1168468637617703,"{""Claims"": [""It is not too late to change direction."", ""SDSM is the only party ready to fight for citizens and the future of the state."", ""We will not give up our future, we will unite and be strong.""]}"
1366791877252741,"{""Claims"": [""We are striving for great support from our strategic partners and friends on our path to full membership in the EU."", ""The only ones who have leadership ambitions and knowledge to lead the country along the European path are SDSM, the Alliance for European Identity, and President Stevo Pendarovski"", ""There is no surrender to European identity!""]}"
322751967223848,"{""Claims"": [""Only SDSM and the Alliance for European Perspective, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country on the European path."", ""We are confident to step forward on the path of European integrations with clear and unequivocal support."", ""The vote for SDSM and the Alliance for European Perspective and for Stevo Pendarovski is a vote for the country's European perspective.""]}"
456735526881991,"{""Claims"": [""We're aiming for major support from our strategic partners and friends on our path to full EU membership."", ""Only SDSM and the Alliance for European Identity, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country along the European path."", ""There is no giving up on European identity!""]}"
1868951333621553,"{""Claims"": [""Election is between hope and hopelessness."", ""We want every citizen of North Macedonia to stay and build their future here, in our country."", ""Let's not give up on the future and together let's fight for a better future for all.""]}"
2103884769993693,"{""Claims"": [""There is no backing down from the future!"", ""We are all united in our common goal, European orientation of our country"", ""Together with SDSM, Coalition for European Orientation and our President Stevo Pendarovski to show that we are all united in our common goal""]}"
681075687418692,"{""Claims"": [""Residents witnessed the appearance of large snakes in urban areas."", ""The presence of such large snake populations in urban areas poses a threat to our children who may come into contact with them while playing around buildings or at playgrounds."", ""The dynamics of grass cutting on urban surfaces in Aerodrom, the number of locations that have been mowed so far, and whether all grassy surfaces will be mowed peacefully within the territory of Aerodrom are being questioned.""]}"
959186065585942,"{""Claims"": [""Thanks to Olaf Scholz for his great support towards SDSM"", ""Voting for SDSM and the Coalition for European Identity means voting for the victory of European Macedonia""]}"
368017916234325,"{""Claims"": [""The support to SDSM by Olaf Scholz is greatly appreciated"", ""Voting for SDSM and the European Coalition means a vote for victory in European Macedonia""]}"
1205178073800809,"{""Claims"": [""Great thanks to @Olaf Scholz for his great support directed towards SDSM, Dimitar Kovachevski and our president Stevo Pendarovski."", ""Voting for SDSM and the European Identity Coalition means voting for the victory of European Macedonia.""]}"
354296314293772,"{""Claims"": [""Euro-Atlantic integration is necessary for preserving European values"", ""The European Union provides a framework for cooperation and stability in Europe"", ""A strong and united EU is crucial for maintaining peace and prosperity in the region""]}"
952120736389685,"{""Claims"": [""Macedonia deserves European identity!"", ""Our children deserve European identity the most!"", ""We guarantee average salary of 1,100 euros and minimum salary of 600 euros.""]}"
396351953314165,"{""Claims"": [""We believe a leader like Stevo Pendarovski is needed, someone we can rely on and who stands side by side with every citizen."", ""Together we can reach secure solutions for each challenge."", ""I'm voting for number 1\ufe0f\u20e3 on April 24th.""]}"
967140451295680,"{""Claims"": [""We showed true dedication and bravery on our path to EU membership"", ""Our dream of a European identity remains and our goal is still the same"", ""We will never give up on the European path because we are committed to our strategic goal""]}"
4674457862779324,"{""Claims"": [""The vote for #Stevos and the Coalition for European Identity is a vote for European Macedonia."", ""We have a vision and plan to bring Macedonia into the European Union, together with our President Stevo Pendasrovski."", ""We are decisive, we have will, courage and knowledge to ensure Europe's destiny in the country, for all our citizens, past and future generations.""]}"
446303441400950,"{""Claims"": [""S\u0456ljanova is completely in the matrix of DPMNE and advises harm to Pendarovski and Kovachevski."", ""L\u0456chne d\u0456skreditac\u0456\u0457 for those with a feminine gender, harm to intellectual capacities expressed by S\u0456ljanova do not relate to a professor or a politician."", ""Panic from election defeat, lack of plan, vision is not justified.""]}"
413936974576258,"{""Claims"": [""The airport belongs to President Stevo Pendarovski""]}"
1146589880118487,"{""Claims"": [""We need to continue on the European path, that is the only alternative for fundamental and positive changes in our country."", ""We have a clear vision for European integration of the state, for a state with a developed economy, better education, healthcare, and functional governance of law."", ""There is no giving up on European identity and building a better society for citizens.""]}"
802323778442410,"{""Claims"": [""He has a clear vision for the European identity of the state"", ""Strongly supports EU and NATO membership"", ""Show what it means to be a true president for all citizens regardless of ethnic, religious or other affiliation""]}"
345081434704628,"{""Claims"": [""The vote for Stevo and the Coalition for European Identity is a vote for European Macedonia"", ""Together with our president Stevo Pendarovski, we have a vision and plan to bring Macedonia into the European Union"", ""We are resolute, willing, courageous and knowledgeable in ensuring Europe's destiny for the country and all its citizens""]}"
412339098080713,"{""Claims"": [""Participating in the European integration process is the only way to bring positive changes and a better living standard in the country."", ""The choice between progress and regression depends on the citizens' decision in upcoming elections."", ""SMSM has a specific and clear plan to move the country forward towards EU.""]}"
651759777088419,"{""Claims"": [""The current president Stoev Pendarovski is capable of being acquainted with the program material."", ""He has a positive energy and atmosphere, and a warm reception for the Vevcanian hosts who can recognize who truly cares about the people and the state."", ""Every family will be visited in the following period to acquaint them with the program.""]}"
7220380881416654,"{""Claims"": [""For more information, follow us.""]}"
812638754042699,"{""Claims"": [""Nikola Gru\u00ebvski and Hristijan Mickoski use brutal methods to silence and intimidate journalists"", ""The duo uses propaganda, media manipulation, and fake news to manipulate citizens"", ""Voters can only prevent these tactics by voting for the Coalition for European Perspective and Stevo Pendarovski on April 24th and May 8th""]}"
442484941777069,"{""Claims"": [""Macedonian President Stevo Pendarovski's program is more transparent."", ""My program showed better results in the 2019 elections."", ""My program is visible, while theirs is an illusion.""]}"
942824157566893,"{""Claims"": [""Stev\u043e Pendarovski is our European president!"", ""Don't miss the big civic protest on Monday, April 8 at 20:00 in the park near the monument to Jane Sandanski."", ""Vote for number 1 on April 24.""]}"
796401479033842,"{""Claims"": [""A large civil march in Aerodrom"", ""The event will take place on Monday, April 8th, 2024 at 8:00 PM"", ""We'll see you!""]}"
974847184092355,"{""Claims"": [""Stev\u043e Pendarovski's program was presented to the youth at the Aerodrom location"", ""Citizens are invited to a large civic meeting on Monday, April 8th at 20:00 in the park by the monument of Jane Sandanski"", ""We do not give up on the future!""]}"
393434320275374,"{""Claims"": [""For more information, follow us.""]}"
1168755624286124,"{""Claims"": [""We will increase salaries and pensions"", ""We will invest more and create better job opportunities"", ""We will develop the economy to European standards""]}"
934054438169865,"{""Claims"": [""Dashkovski is responsible for unknown voters and ensuring an electoral list."", ""The President of DIK cannot and should not participate in party activities, nor interfere with pre-election activities of any party."", ""This raises suspicion and questions the criminal act.""]}"
1341461227244721,"{""Claims"": [""DPMNE failed to realize its electoral promises."", ""DPMNE has no plan for the future and cannot bring about any change."", ""Nothing from DPMNE's election promises was realized.""]}"
