ad_archive_id,claims
427480589881211,"{""Claims"": [""The anti-Albanian quarters have a tendency to abolish amnesty and obscure the fight for freedom and justice of U\u00c7K."", ""Gordana Siljanovska's words confirmed that VMRO-DPMNE's political battle is to subjugate Albanians, not continue the partnership built since 2001"", ""EU Front should gain more than 22 mandates and 'Siljanovskas' should remain only a memory""]}"
1636678057070325,"{""Claims"": [""Macedonia is yours again!"", ""The change happens in your hands!"", ""It's time for a new beginning!""]}"
252100357930225,"{""Claims"": [""For many years"", ""The flowers are beautiful"", ""It's a long time since the flowers bloomed""]}"
1826112547851414,"{""Claims"": [""Sell the reconstruction of the Katlanovo-Vel\u00e8s highway!"", ""Design a new express road from V\u0435\u043b\u0435\u0441 to \u0427\u0430\u0448\u043a\u0430 to \u041f\u0440\u0438\u043b\u0435\u043f!"", ""For Macedonia again, be yours!""]}"
1463429004244655,"{""Claims"": [""There is no need for a president like Pendarovski, but rather a worthy one like Professor Gordana Siljanovska Davkova""]}"
392857170323758,"{""Claims"": [""Vote for number 2 on May 8th"", ""Win the greatest victory in electoral unit 2"", ""Many projects and a better future for all people""]}"
403410729140623,"{""Claims"": [""There is only one truth"", ""Macedonia belongs to us"", ""It will be ours again""]}"
449885880937883,"{""Claims"": [""\u0412\u043b\u0430\u0434\u0430\u0442\u0430 \u043f\u0440\u0435\u0434\u0432\u043e\u0434\u0435\u043d\u0430 \u043e\u0434 \u0421\u0414\u0421\u041c \u0441\u0435 \u043f\u043e\u043a\u0430\u0436\u0430 \u043a\u0430\u043a\u043e \u0434\u043e\u0431\u0430\u0440 \u043f\u0430\u0440\u0442\u043d\u0435\u0440 \u043d\u0430 \u0431\u0438\u0437\u043d\u0438\u0441 \u0437\u0430\u0435\u0434\u043d\u0438\u0446\u0430\u0442\u0430!"", ""We have already demonstrated that we know how to do it and have invested in 919 domestic companies with over 100 million euros, which have invested over 500 million euros and created 5,000 job openings."", ""We will double this support in the next 4 years to over 180 million euros, and our economy will receive over a billion euros in investments.""]}"
1458502418376190,"{""Claims"": [""The people are determined for change in every survey"", ""VLEN will be the winner and Arben Taravari is a winning candidate""]}"
416623077647589,"{""Claims"": [""Vele\u0161 is ready for CHANGES!!!"", ""Vele\u0161 has enormous support for Prof. Gordana Siljanovska Dafkova."", ""Macedonia proud again!"", ""Macedonia yours again!""]}"
781983880567260,"{""Claims"": [""Time is again to be proud of our president!"", ""It's time to regain the pride in our president again"", ""We should once more feel proud of our leader""]}"
1887851201662604,"{""Claims"": [""Gord is proud of young people!"", ""Young people from \u0403or\u010de Petrov are the avant-garde and the changes that everyone wants to see."", ""The changes depend on all of us!""]}"
1970074723389277,"{""Claims"": [""Macedonia has a great day!"", ""It is the turn of Macedonia"", ""Macedonia's strength""]}"
1927068471043142,"{""Claims"": [""This is a fight between the vision of unity and integration"", ""The majority multiethnic front in the country represents this vision"", ""VMRO DPMNE-JA represents the vision of isolation and hatred""]}"
437943508751645,"{""Claims"": [""The presidential elections in North Macedonia have started with seven candidates running for the President's office."", ""Citizens are already comparing programs, promises, and debates to make their decisions."", ""Gordana Siljanovska Davkova (68) from VMRO-DPMNE and current President Stevo Pendarovski (61) from LSDM are the most prominent candidates in the Macedonian political camp.""]}"
802106028640560,"{""Claims"": [""Hungary is the richest country in Europe"", ""The Social Democratic Party of Macedonia (LSDM) and the Democratic Union for Integration (BDI) are going into opposition""]}"
1006631041032140,"{""Claims"": [""A new church is being built in Prevalec"", ""New sports facilities and urban equipment are being installed in Prevalec"", ""The area will be urbanized and developed, providing citizens with leisure activities and sports options""]}"
382415011367838,"{""Claims"": [""The city of Veles would not be what it is without these market vendors."", ""Citizens are disillusioned with this government and the economic catastrophe they have caused."", ""We will need a strong battle to stabilize the economy.""]}"
795173398649698,"{""Claims"": [""The candidate is a member of VMRO-DPMNE"", ""The candidate represents the interests of the Macedonian people"", ""The candidate will work to preserve and strengthen national identity""]}"
