ad_archive_id,ad_creative_bodies,translated_text,compound,sentiment_label
988735132879405,"#НемаОткажувањеОдИднината 
#СДСМ #Аеродром
#Македонија","#NO COMMUNDATION ADDITION
#SDSM #Aerodrom
#Macedonia",0.0,neutral
1138731707263665,"Денес разговаравме за потребата за целосна и активна мобилизација на демократските сили за да се осигура понатамошниот прогрес на државата. 

Сѐ уште не е доцна да се смени правецот. СДСМ е единствената партија која е подготвена да се бори за граѓаните и за иднината на државата. Обединети сме и силни, сме издржале и време и невреме, и добро и лошо и секогаш сме биле на браникот на татковината. СДСМ е партија направена од цврст материјал. Откажувањето не е опција за нас. 

Подаваме рака и ги повикуваме сите прогресивни сили на 8 мај, да гласаат ЗА прогресивна Македонија. Заеднички да не дозволиме да ни се врати заробената држава и режимското минато, времето на внатрешни конфликти и поделби.

#НемаОткажувањеОдИднината #Заокружи1","Today we discussed the need for complete and active mobilization of the democratic forces to ensure the further progress of the state.

It is still not too late to change direction.SDSM is the only party that is ready to fight for the citizens and the future of the state.We are united and strong, we have endured both time and storms, and good and bad and we have always been to the bumper of the homeland.SDSM is a party made of solid material.Canceling is not an option for us.

We extend our hand and urge all progressive forces on May 8, to vote for progressive Macedonia.Let us not let the captured state and the regime's past come back, the time of internal conflicts and divisions.

#NO COMPLETEMENT #CONCLUSION1",0.9628,positive
1462600661315120,"СДСМ е единствената партија која е подготвена да се бори за граѓаните и за иднината на државата. 

Обединети сме и силни, сме издржале и време и невреме, и добро и лошо и секогаш сме биле на браникот на татковината. 

СДСМ е партија направена од цврст материјал. Откажувањето не е опција за нас. 

Подаваме рака и ги повикуваме сите прогресивни сили на 8 мај, да гласаат ЗА прогресивна Македонија. Заеднички да не дозволиме да ни се врати заробената држава и режимското минато, времето на внатрешни конфликти и поделби.

#НемаОткажувањеОдИднината #Заокружи1","SDSM is the only party that is ready to fight for the citizens and the future of the state.

We are united and strong, we have endured both time and storms, and good and bad and we have always been to the bumper of the homeland.

SDSM is a party made of solid material.Canceling is not an option for us.

We extend our hand and urge all progressive forces on May 8, to vote for progressive Macedonia.Let us not let the captured state and the regime's past come back, the time of internal conflicts and divisions.

#NO COMPLETEMENT #CONCLUSION1",0.9136,positive
1168468637617703,"Денес разговаравме за потребата за целосна и активна мобилизација на демократските сили за да се осигура понатамошниот прогрес на државата. 

Сѐ уште не е доцна да се смени правецот. СДСМ е единствената партија која е подготвена да се бори за граѓаните и за иднината на државата. Обединети сме и силни, сме издржале и време и невреме, и добро и лошо и секогаш сме биле на браникот на татковината. СДСМ е партија направена од цврст материјал. Откажувањето не е опција за нас. 

Подаваме рака и ги повикуваме сите прогресивни сили на 8 мај, да гласаат ЗА прогресивна Македонија. Заеднички да не дозволиме да ни се врати заробената држава и режимското минато, времето на внатрешни конфликти и поделби.

#НемаОткажувањеОдИднината #Заокружи1","Today we discussed the need for complete and active mobilization of the democratic forces to ensure the further progress of the state.

It is still not too late to change direction.SDSM is the only party that is ready to fight for the citizens and the future of the state.We are united and strong, we have endured both time and storms, and good and bad and we have always been to the bumper of the homeland.SDSM is a party made of solid material.Canceling is not an option for us.

We extend our hand and urge all progressive forces on May 8, to vote for progressive Macedonia.Let us not let the captured state and the regime's past come back, the time of internal conflicts and divisions.

#NO COMPLETEMENT #CONCLUSION1",0.9628,positive
1366791877252741,"Добиваме голема поддршка од нашите стратешки партнери и пријатели на нашиот пат кон полноправното членство во ЕУ.  

Само СДСМ и Коалицијата за европска иднина, заедно со претседателот Стево Пендаровски имаат лидерски амбиции и знаење да ја водат државата по европскиот пат.  

Со јасна и недвосмислена поддршка сигурно чекориме по патот на европските интеграции. Гласот за СДСМ и Коалицијата за европска иднина и за Стево Пендаровски е глас за европската иднина на државата.  

Нема откажување од европската иднина! 🇲🇰🇪🇺","We receive great support from our strategic partners and friends on our way to full EU membership.

Only the SDSM and the Coalition for the European Future, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the state along the European path.

With clear and unambiguous support we certainly walk the path of European integration.The vote for SDSM and the Coalition for European Future and Stevo Pendarovski is a voice for the European future of the state.

No cancellation of the European future!🇲🇰🇪🇺",0.9402,positive
322751967223848,"Добиваме голема поддршка од нашите стратешки партнери и пријатели на нашиот пат кон полноправното членство во ЕУ.  

Само СДСМ и Коалицијата за европска иднина, заедно со претседателот Стево Пендаровски имаат лидерски амбиции и знаење да ја водат државата по европскиот пат.  

Со јасна и недвосмислена поддршка сигурно чекориме по патот на европските интеграции. Гласот за СДСМ и Коалицијата за европска иднина и за Стево Пендаровски е глас за европската иднина на државата.  

Нема откажување од европската иднина! 🇲🇰🇪🇺","We receive great support from our strategic partners and friends on our way to full EU membership.

Only the SDSM and the Coalition for the European Future, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the state along the European path.

With clear and unambiguous support we certainly walk the path of European integration.The vote for SDSM and the Coalition for European Future and Stevo Pendarovski is a voice for the European future of the state.

No cancellation of the European future!🇲🇰🇪🇺",0.9402,positive
456735526881991,"Добиваме голема поддршка од нашите стратешки партнери и пријатели на нашиот пат кон полноправното членство во ЕУ.  

Само СДСМ и Коалицијата за европска иднина, заедно со претседателот Стево Пендаровски имаат лидерски амбиции и знаење да ја водат државата по европскиот пат.  

Со јасна и недвосмислена поддршка сигурно чекориме по патот на европските интеграции. Гласот за СДСМ и Коалицијата за европска иднина и за Стево Пендаровски е глас за европската иднина на државата.  

Нема откажување од европската иднина! 🇲🇰🇪🇺","We receive great support from our strategic partners and friends on our way to full EU membership.

Only the SDSM and the Coalition for the European Future, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the state along the European path.

With clear and unambiguous support we certainly walk the path of European integration.The vote for SDSM and the Coalition for European Future and Stevo Pendarovski is a voice for the European future of the state.

No cancellation of the European future!🇲🇰🇪🇺",0.9402,positive
788562043220491,"Немаме резервна татковина, Македонија мора да стане европска држава.

Македонија има многу знаење, Македонија има многу голема сила и енергија дома! За таа цел, ја креиравме програмата за европска иднина. Прецизна, јасна, реална, остварлива, креирана да ја крене таа енергија и македонско знаење.

Нема откажување од иднината!","We have no spare homeland, Macedonia must become a European state.

Macedonia has a lot of knowledge, Macedonia has very great strength and energy at home!To that end, we have created the program for European future.Precision, clear, realistic, viable, created to raise that energy and Macedonian knowledge.

No cancellation of the future!",0.9307,positive
1868951333621553,"На претстојните избори, изборот е помеѓу надеж и безнадежност! Помеѓу европската иднина и заглавување во минатото со ВМРО ДПМНЕ.

Сакаме секој жител на Македонија да остане и да ја гради својата иднина тука, во нашата држава.

Затоа Ве повикувамe, да не се откажуваме од иднината и заедно да се избориме за подобра иднина за сите.

На изборите на 24 април, и 8 мај да го заокружиме бројот 1, да гласаме за нашиот претседател Стево Пендаровски, за СДСМ и Колаицијата за европска иднина.","In the upcoming elections, the choice is between hope and hopelessness!Between the European future and the stuck in the past with VMRO -DPMNE.

We want every Macedonian resident to stay and build their future here, in our country.

That is why we urge you, not to give up the future and to fight for a better future for everyone.

In the April 24 elections, and May 8th to round out the number 1, to vote for our President Stevo Pendarovski, SDSM and the Coalition for European Future.",0.4753,positive
441160645064798,"Во наредните четири години просечната плата ќе достигне рекордни 1.100 евра, а минималната плата ќе изнесува 600 евра.

Во 2028 година минималната пензија ќе биде 20.000 денари, а просечната пензија 30.000 денари.

Продолжуваме и со поддршката за младите! Предвидовме 200 евра месечно во првите 12 месеци за секое прво вработување на лица до 26 години.

Силна поддршка за домашната економија – 180 милиони евра директна поддршка за домашните компании + 3,5 милијарди евра капитални инвестиции.

На претстојните избори, изборот е помеѓу надеж и безнадежност! Помеѓу европската иднина и заглавување во минатото со ВМРО ДПМНЕ.

Сакаме секој жител на Македонија да остане и да ја гради својата иднина тука, во нашата држава.

Затоа Ве повикувамe, да не се откажуваме од иднината и заедно да се избориме за подобра иднина за сите.

На изборите на 24 април, и 8 мај да го заокружиме бројот 1, да гласаме за нашиот претседател Стево Пендаровски, за СДСМ и Колаицијата за европска иднина.","In the next four years, the average salary will reach a record 1,100 euros, and the minimum wage will be 600 euros.

In 2028 the minimum pension will be 20,000 denars and the average pension of 30,000 denars.

We continue with support for young people!We have foreseen 200 euros a month in the first 12 months for each first employment of persons up to 26 years.

Strong support for the domestic economy - 180 million euros direct support for domestic companies + 3.5 billion euros of capital investment.

In the upcoming elections, the choice is between hope and hopelessness!Between the European future and the stuck in the past with VMRO -DPMNE.

We want every Macedonian resident to stay and build their future here, in our country.

That is why we urge you, not to give up the future and to fight for a better future for everyone.

In the April 24 elections, and May 8th to round out the number 1, to vote for our President Stevo Pendarovski, SDSM and the Coalition for European Future.",0.9311,positive
