ad_archive_id,claims
1501205007127687,"{""Claims"": [""Macedonian people will win the platform"", ""The government should prioritize red lines in defense of the Macedonian state"", ""The regime of SDS and DUI has been dictatorial and needs to be ended""]}"
1867634487041320,"{""Claims"": [""A lot of damage can be prevented by stopping the small evil."", ""Youthful and inexperienced individuals should not be allowed to represent the people."", ""The state needs to intervene in agriculture to ensure a stable food supply.""]}"
767405418873659,"{""Claims"": [""Macedonia is a long and wide work, started ages ago, left for us to preserve."", ""The ideology of patriotism teaches you from your grandmother!"", ""The death of fascism, the freedom of the people! They have not given up yet. The battle is not over! We are tasked with building a more beautiful Macedonia.""]}"
893383299467824,"{""Claims"": [""Every given vote for SDS is thrown into the drain."", ""We are committing to the left values and we will not participate in another project like NDS, which is presented as center-left. That means we promise left, we act the same - just like SDS promised progressive taxation to left voters and ended up at the center of the flat tax!"", ""We will not participate in another project that is represented as center-left.""]}"
7319438911509170,"{""Claims"": [""The establishment of a unified national consensus to prevent the ongoing undermining of the Republic of North Macedonia"", ""The country should be organized into one electoral unit and bans on monolithic and ethnically pure parties"", ""There is no room for the historical commission's revisions of Macedonian anti-fascist history and a decisive 'no' to the inclusion of Bulgarians in the Constitution""]}"
425810480149541,"{""Claims"": [""Artn Grubi is dissolving the contract with Sinohydro for the Kichevo-Ochrid highway, allegedly for personal gain through Bechtel and Enka as his project"", ""\u0408\u043e\u0432\u0430\u043d\u0430 \u041c\u043e\u0458\u0441\u043e\u0441\u043a\u0430 is a carrier of Electoral Unit 5 from the Political Party of the Left"", ""She [\u0408\u043e\u0432\u0430\u043d\u0430 \u041c\u043e\u0458\u0441\u043e\u0441\u043a\u0430] was a guest on TERA TV""]}"
357373326807448,"{""Claims"": [""PAN is a highly advanced AI-driven cybersecurity platform that detects and prevents attacks before they occur."", ""Ariston is an innovative solution for automated penetration testing, which helps organizations test their defenses and identify vulnerabilities."", ""Metron is a cutting-edge threat intelligence platform that provides real-time insights into emerging threats and empowers organizations to stay ahead of the curve.""]}"
1173874757308369,"{""Claims"": [""No compensation will be taken from the assembly"", ""Unwavering in the committee"", ""Power without left is not allowed""]}"
786931613090911,"{""Claims"": [""Macedonian Platform in five points"", ""Response to 'moratorium on attacks'"", ""Unwavering in the Assembly""]}"
936635301540215,"{""Claims"": [""Macedonia is economically oppressed by foreign capital. A state that does not possess strategic resources is equal to a protectorate!"", ""A state without left-wing government is not capable of governing"", ""Strategic resources are the key to independence""]}"
767605835352373,"{""Claims"": [""Not submissive in the Assembly"", ""No power without left"", ""Surround 5""]}"
1125849115121370,"{""Claims"": [""2020: We won over 37,000 votes and entered the Assembly. It's hard to get in, only the big ones succeed."", ""2024: We collected signatures for our presidential candidate in just 6 days without any coalition, winning 42,000 votes at our baptism by fire with a supportive independent candidate on whose behalf I will kneel down until my death for the fight."", ""W-ork with others, I-nvolve in life, N-ever quit""]}"
1432786707437054,"{""Claims"": [""The party was created from activists, syndicalists, freelancers, and workers."", ""The party gained over 37,000 votes but only two representatives were elected due to the electoral system."", ""The party revived its principles despite facing bankruptcy and financial struggles.""]}"
1141850897012271,"{""Claims"": [""A government is measuring with wrong scales, not touching reality."", ""The industrial energy fee paid by businesses such as shops, gardens, hospitals, and schools is unjustifiable."", ""There is no country in the EU that does not have a luxury tax.""]}"
1591809298283564,"{""Claims"": [""You are trying to make the same mistakes again, entering a loser's process because you want and need us as a Macedonian nation to get used to defeats""], [""The history is becoming part of the negotiating framework instead of discussing Copenhagen criteria, we will negotiate what was Czar Samoil, what was Goce Delchev, what was the Ilinden Uprising""], [""You have made unilateral statements about the Macedonian language that are officially archived in European archives, stating that the Macedonian language is a West-Bulgarian dialect""]}"
1969059880191686,"{""Claims"": [""Pendarovski surrenders"", ""The people will judge the chauvinists and amnestied terrorists on May 8th""]}"
960751595243761,"{""Claims"": [""Tenfold increase in the budget for education and science."", ""Free textbooks and free meals for all students. Subsidization of cultural activities for students. Abolition of participations and tuition fees at faculties. Digitalization of higher school textbooks on the principle of 'open access'. Reduction of state universities to four.""]}"
290104560813309,"{""Claims"": [""Let's put an end to the theft of people's money! Let's reset the system! With a two-digit number of deputies, we'll be the biggest obstacle to their criminal laws, harmful policies and privatization of public goods. The power of the fight and our shared destiny depends on you!"", ""Unyielding in Parliament"", ""Do not let them rule without Left""]}"
