ad_archive_id,claims_to_questions
988735132879405,"{""\u041d\u0435\u043c\u0430\u041e\u0442\u043a\u0430\u0436\u0443\u0432\u0430\u045c\u044cOd\u0418\u0434\u043d\u0438\u043d\u0430\u0442\u0430"": {""Questions"": [""What are the key attributes that the next President of North Macedonia should possess?"", ""How do the presidential candidates differ in their promises and slogans?"", ""What specific policies or initiatives do the seven aspirants for the presidency promise to implement if elected?""]}, ""The SDSM is..."": {""Questions"": [""What is the SDSM?"", ""What are the attributes that the next President of North Macedonia should possess?"", ""What promises and slogans do the presidential candidates offer to attract voters?""]}, ""Macedonia"": {""Questions"": [""What is the current situation regarding the presidential election in North Macedonia?"", ""Are there any specific requirements for the next president of North Macedonia, as mentioned in the claim?"", ""Who are the seven candidates competing for the presidency in North Macedonia's election?""]}}"
1138731707263665,"{""SDSM is the only party ready to fight for citizens and the future of the state."": {""Questions"": [""Is the claim 'SDSM is the only party ready to fight for citizens and the future of the state' supported by factual evidence?"", ""What specific attributes should the next President of North Macedonia possess, according to the author Enis Shaqiri?"", ""What are the concrete offers made by the presidential candidates Biljana Vankovski, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}, ""The party has endured time and weather, good and bad, and has always been on guard for the homeland."": {""Questions"": [""Is the party mentioned in the claim a political party?"", ""What are the specific promises and slogans offered by the presidential candidates?"", ""What is the relevance of the phrase 'homeland' to the context of the presidential election?""]}, ""It's not an option for us to give up; SDSM is a party made of solid material."": {""Questions"": [""What is the context of the claim that SDSM is a party made of solid material?"", ""Who are the candidates vying for the presidency of North Macedonia, and what promises have they made?"", ""What specific attributes should the next President of North Macedonia possess, according to the author?""]}}"
1462600661315120,"{""SOSM is the only party ready to fight for citizens and the future of the state."": {""Questions"": [""Is the claim that SOSM is the only party ready to fight for citizens and the future of the state supported by any evidence or credible sources?"", ""What are the specific promises or slogans being offered by the presidential candidates Biljana Vankovska, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?"", ""Are there any notable differences in the policies or agendas being presented by the seven aspirants vying for the presidency?""]}, ""We are united and strong, we have endured time and weather, good and bad, and always been on the barricades of the homeland."": {""Questions"": [""What does the claim mean by 'the barricades of the homeland'? Is it referring to a specific location or situation?"", ""How do the presidential candidates' promises and slogans differ from one another?"", ""What are the specific qualifications or attributes that the next President of North Macedonia should have, according to the author?""]}, ""SOSM is a party made of solid material. Renunciation is not an option for us."": {""Questions"": [""What evidence is presented to support the claim that SOSM is a party made of solid material?"", ""What is the significance of Renunciation not being an option for SOSM, and how does it relate to the presidential election in North Macedonia?"", ""What specific promises or slogans are being offered by the candidates Biljana Vankovsk\u00ebn, Maksim Dimitrievski, and Stef\u00e7e Jakimovski in their presidential campaigns?""]}}"
1168468637617703,"{""It is not too late to change direction."": {""Questions"": [""Why is it 'not too late to change direction'?"", ""What specific attributes should the next President of North Macedonia possess, according to the author?"", ""What are the main promises and slogans offered by the seven presidential candidates in the upcoming election?""]}, ""SDSM is the only party ready to fight for citizens and the future of the state."": {""Questions"": [""Is SDSM the only party that has taken a stance on fighting for citizens and the future of North Macedonia?"", ""What are the key qualifications required for the next President of North Macedonia, according to the claim?"", ""Do the candidates vying for the presidency in North Macedonia have concrete plans or proposals for the country's future?""]}, ""We will not give up our future, we will unite and be strong."": {""Questions"": [""What is the meaning of 'We will not give up our future'?"", ""What are the key attributes that a presidential candidate should possess to lead North Macedonia?"", ""What are the main promises and slogans offered by the candidates in the presidential election?""]}}"
1366791877252741,"{""We are striving for great support from our strategic partners and friends on our path to full membership in the EU."": {""Questions"": [""Why does the claim mention 'strategic partners and friends' in relation to EU membership?"", ""What is the main dilemma facing the upcoming presidential election in North Macedonia?"", ""What specific promises or slogans are being offered by the candidates in the ongoing presidential election?""]}, ""The only ones who have leadership ambitions and knowledge to lead the country along the European path are SDSM, the Alliance for European Identity, and President Stevo Pendarovski"": {""Questions"": [""Does the claim suggest that SDSM and Alliance for European Identity are the only parties with leadership ambitions and knowledge to lead the country along the European path?"", ""Is it implied that President Stevo Pendarovski has the necessary qualifications or attributes to be a leader in the future?"", ""Are there any specific promises or slogans offered by the candidates vying for the presidency, beyond just appealing to the electorate?""]}, ""There is no surrender to European identity!"": {""Questions"": [""What is the topic of the presidential election in North Macedonia?"", ""Who are the candidates running for president in North Macedonia's election?"", ""What are the key issues or promises that the candidates are making to voters?""]}}"
322751967223848,"{""Only SDSM and the Alliance for European Perspective, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country on the European path."": {""Questions"": [""What are the specific leadership qualities that a future President of North Macedonia should possess?"", ""How do the candidates running for the presidency differ in their campaign promises and slogans?"", ""What are the key issues or challenges that the next president of North Macedonia will face, and how do the current candidates plan to address them?""]}, ""We are confident to step forward on the path of European integrations with clear and unequivocal support."": {""Questions"": [""What is the context of the statement 'We are confident to step forward on the path of European integrations with clear and unequivocal support.'?"", ""In what specific aspects do the presidential candidates differ from each other?"", ""Who are the seven aspirants vying for the position of President, mentioned in the article?""]}, ""The vote for SDSM and the Alliance for European Perspective and for Stevo Pendarovski is a vote for the country's European perspective."": {""Questions"": [""Why is the vote for SDSM and the Alliance for European Perspective and for Stevo Pendarovski considered a vote for the country's European perspective?"", ""What are the key promises and slogans being offered by presidential candidates Biljana Vankovska, Maksim Dimitrievski, Stef\u00e7e Jakimovski, and others?"", ""Are there any notable differences in the platforms or agendas of the seven presidential aspirants competing in the election?""]}}"
456735526881991,"{""We're aiming for major support from our strategic partners and friends on our path to full EU membership."": {""Questions"": [""What is the specific goal mentioned in the claim about seeking support from strategic partners?"", ""Who are the candidates competing for the presidency of North Macedonia, as mentioned in the article?"", ""What are the aspirants' main promises and slogans being offered to the electorate during the election campaign?""]}, ""Only SDSM and the Alliance for European Identity, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country along the European path."": {""Questions"": [""Is the claim that only SDSM and the Alliance for European Identity, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country along the European path supported by evidence?"", ""What are the specific promises and slogans offered by the presidential candidates?"", ""Do the seven presidential aspirants mentioned in the article share similar qualities or qualifications to lead the country?""]}, ""There is no giving up on European identity!"": {""Questions"": [""How does the statement relate to European identity?"", ""What are the specific promises and slogans being offered by the presidential candidates?"", ""What is the main dilemma facing the future president of North Macedonia?""]}}"
1868951333621553,"{""Election is between hope and hopelessness."": {""Questions"": [""What is the claimed nature of the election between hope and hopelessness?"", ""Who are the presidential candidates in the Macedonian North election, and what promises do they offer?"", ""What specific attributes should the next President of North Macedonia possess according to the author?""]}, ""We want every citizen of North Macedonia to stay and build their future here, in our country."": {""Questions"": [""Why is the claim mentioning North Macedonia's citizens wanting to stay and build their future there?"", ""What are the candidates promising to the electors during this presidential election campaign?"", ""What specific qualities or attributes should the next president of North Macedonia possess, according to the dilemma mentioned in the claim?""]}, ""Let's not give up on the future and together let's fight for a better future for all."": {""Questions"": [""What is the main focus of the statement?"", ""Who are the candidates running for President of North Macedonia?"", ""What is the current situation with regards to the presidential election in North Macedonia?""]}}"
2103884769993693,"{""There is no backing down from the future!"": {""Questions"": [""What is the specific attribute that the next President of North Macedonia should possess?"", ""What are the main promises and slogans being offered by presidential candidates?"", ""When did the presidential election campaign officially start?""]}, ""We are all united in our common goal, European orientation of our country"": {""Questions"": [""How many presidential candidates are running in the North Macedonia election?"", ""What is the main goal that these candidates are striving for?"", ""In what ways do these candidates differ from each other?""]}, ""Together with SDSM, Coalition for European Orientation and our President Stevo Pendarovski to show that we are all united in our common goal"": {""Questions"": [""Is the claim stating that a coalition is formed to show unity in a common goal accurate?"", ""Are there indeed multiple candidates running for the presidential election of North Macedonia, as mentioned in the article?"", ""Do the provided candidate details (age and party affiliation) match with publicly available information?""]}}"
681075687418692,"{""Residents witnessed the appearance of large snakes in urban areas."": {""Questions"": [""What evidence supports the claim that residents witnessed the appearance of large snakes in urban areas?"", ""What is the specific issue being debated in the Macedonian presidential election campaign?"", ""What are the main promises and slogans offered by the candidates in the Macedonian presidential election?""]}, ""The presence of such large snake populations in urban areas poses a threat to our children who may come into contact with them while playing around buildings or at playgrounds."": {""Questions"": [""What evidence supports the claim that large snake populations in urban areas pose a threat to children?"", ""Do snake encounters in urban areas actually occur, and if so, what are the frequencies and contexts of these events?"", ""Is there empirical research on the actual risks or consequences of snakes being present in urban playgrounds or buildings?""]}, ""The dynamics of grass cutting on urban surfaces in Aerodrom, the number of locations that have been mowed so far, and whether all grassy surfaces will be mowed peacefully within the territory of Aerodrom are being questioned."": {""Questions"": [""Is there a specific issue with grass cutting on urban surfaces in Aerodrom?"", ""Are all locations that have been mowed peaceful within the territory of Aerodrom?"", ""Do presidential candidates in North Macedonia's presidential election promise similar things to each other?""]}}"
959186065585942,"{""Thanks to Olaf Scholz for his great support towards SDSM"": {""Questions"": [""What is the relationship between Olaf Scholz and SDSM?"", ""What are the main promises or slogans being offered by the presidential candidates in North Macedonia's election?"", ""What are the specific qualifications or attributes that a future President of North Macedonia should possess, according to Enis Shaqiri?""]}, ""Voting for SDSM and the Coalition for European Identity means voting for the victory of European Macedonia"": {""Questions"": [""What is the relationship between voting for SDSM and the Coalition for European Identity and the victory of European Macedonia?"", ""Are there any specific promises or slogans being offered by the presidential candidates in North Macedonia's election?"", ""What are the concrete offers made by the seven aspirants competing for the position of President of North Macedonia?""]}}"
368017916234325,"{""The support to SDSM by Olaf Scholz is greatly appreciated"": {""Questions"": [""What is the relationship between Olaf Scholz and SDSM?"", ""In what ways are the presidential candidates in North Macedonia offering promises and slogans to attract voters?"", ""When did the presidential election campaign in North Macedonia start, and how many candidates are running?""]}, ""Voting for SDSM and the European Coalition means a vote for victory in European Macedonia"": {""Questions"": [""What is the relationship between voting for SDSM and the European Coalition and winning in European Macedonia?"", ""What are the specific promises or slogans that candidates Biljana Vankovsk\u00eb, Maksim Dimitrievski, and Stef\u00e7e Jakimovski are offering to voters?"", ""Are there any notable differences between the seven presidential hopefuls vying for the position?""]}}"
1205178073800809,"{""Great thanks to @Olaf Scholz for his great support directed towards SDSM, Dimitar Kovachevski and our president Stevo Pendarovski."": {""Questions"": [""What is the relationship between Olaf Scholz and SDSM?"", ""Who are the presidential candidates in North Macedonia's election, and what promises do they offer?"", ""What attributes should a future president of North Macedonia possess, according to the article?""]}, ""Voting for SDSM and the European Identity Coalition means voting for the victory of European Macedonia."": {""Questions"": [""How does the claim relate to the European Identity Coalition?"", ""What is the significance of the mention of 'victory of European Macedonia' in the context of the presidential election?"", ""What are the specific promises or slogans being offered by the candidates in the presidential election, and how do they align with the claim?""]}}"
354296314293772,"{""Euro-Atlantic integration is necessary for preserving European values"": {""Questions"": [""What is the relevance of Euro-Atlantic integration to preserving European values?"", ""What is the main challenge faced by the presidential candidates in North Macedonia, and how do they propose to address it?"", ""What are the key promises or slogans made by the seven presidential aspirants competing for the presidency in North Macedonia?""]}, ""The European Union provides a framework for cooperation and stability in Europe"": {""Questions"": [""Is the European Union a regional organization that provides a framework for cooperation and stability in Europe?"", ""What is the main issue dominating the North Macedonia presidential election campaign?"", ""What are the key promises and slogans being offered by the seven candidates vying for the presidency?""]}, ""A strong and united EU is crucial for maintaining peace and prosperity in the region"": {""Questions"": [""What is the relationship between the EU and the region being referred to?"", ""Are there any specific promises or slogans being offered by the presidential candidates mentioned?"", ""What are the main differences between the 7 aspirants for the Presidency mentioned in the article?""]}}"
952120736389685,"{""Macedonia deserves European identity!"": {""Questions"": [""Does the claim 'Macedonia deserves European identity' refer to a political party's stance on Macedonia's membership in the European Union?"", ""What is the main focus of the presidential election in North Macedonia, according to the text?"", ""Are there more than 5 candidates running for the position of President in North Macedonia?""]}, ""Our children deserve European identity the most!"": {""Questions"": [""What is the main topic of discussion in the Macedonian presidential election?"", ""What are the main candidates promising to voters during their campaigns?"", ""Who are the seven aspirants running for the presidency of North Macedonia?""]}, ""We guarantee average salary of 1,100 euros and minimum salary of 600 euros."": {""Questions"": [""What is the average salary guarantee mentioned in the claim?"", ""What is the minimum salary guarantee mentioned in the claim?"", ""Is there a connection between the claim's mention of salaries and the topic of the upcoming presidential election in North Macedonia?""]}}"
