ad_archive_id,claims_to_questions
988735132879405,"{""There is no giving up on destiny"": {""Questions"": [""Is the claim that 'There is no giving up on destiny' a statement about the upcoming presidential election in North Macedonia?"", ""What are the main promises and slogans being offered by the presidential candidates, as stated in the article?"", ""Do any of the seven aspirants running for president have specific attributes or qualifications mentioned in the article?""]}, ""SDSM"": {""Questions"": [""How many presidential candidates are running in the North Macedonia election?"", ""What is the primary focus of the presidential candidates' campaigns (promises and slogans)?"", ""What are the key qualifications or attributes that the next President of North Macedonia should possess, according to the claim?""]}, ""Aerodrome"": {""Questions"": [""Is the claim that the President-elect of North Macedonia should possess certain attributes a verifiable fact?"", ""What are the specific promises and slogans being offered by the presidential candidates mentioned in the article?"", ""Are there indeed seven presidential aspirants vying for the position, including Biljana Vankovsk\u00ebn, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}, ""Macedonia"": {""Questions"": [""What is the exact date when the presidential election campaign in North Macedonia started?"", ""What are the specific promises and slogans offered by the candidates Biljana Vankovsk\u00eb, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?"", ""What is the main dilemma currently dominating the presidential election scene in North Macedonia?""]}}"
1138731707263665,"{""SVM is the only party prepared to fight for citizens and the future of the state."": {""Questions"": [""What is the basis for the claim that SVM is the only party prepared to fight for citizens and the future of the state?"", ""How do the presidential candidates plan to address the concerns of the electorate?"", ""What specific policies or actions do the seven aspirants promise to implement if elected as President?""]}, ""We are united and strong, we have endured time and weather, good and bad, and always been on the guard of the homeland."": {""Questions"": [""What is the main topic discussed in the article?"", ""Who are the presidential candidates mentioned in the article, and what parties do they belong to?"", ""What is the central question being asked about the future president of North Macedonia?""]}, ""It's not an option for us to give up. We're a party made of solid material."": {""Questions"": [""What does 'solid material' mean in the context of a political party?"", ""Are there any specific requirements or attributes that the next President of North Macedonia should possess, according to the author?"", ""What is the main difference between the candidates (Biljana Vankovsk\u00eb, Maksim Dimitrievski, and Stef\u00e7e Jakimovski) in terms of their promises and slogans?""]}}"
1462600661315120,"{""SVM is the only party ready to fight for citizens and for the future of the state."": {""Questions"": [""What is the specific attribute that the next President of North Macedonia should possess?"", ""How do the candidates plan to achieve their promises and slogans during the election campaign?"", ""Can SVM's claim that it is the only party ready to fight for citizens and the future of the state be supported or refuted by concrete actions taken by the party?""]}, ""We are united and strong, we have endured time and weather, good and bad, and we have always been on the barricades for the homeland."": {""Questions"": [[""The statement 'We are united and strong...' is a claim made by whom?"", ""Who are the presidential candidates in North Macedonia's election?"", ""What specific attributes should the next President of North Macedonia possess, according to the author?""]]}, ""The SVM party is made of tough material. Renunciation is not an option for us."": {""Questions"": [""What does 'tough material' mean in the context of the SVM party?"", ""What are the main pledges and slogans being offered by presidential candidates?"", ""What specific qualities or attributes should the next President of North Macedonia possess, according to Enis Shaqiri?""]}}"
1366791877252741,"{""We need strong support from our strategic partners and friends on our path to full EU membership."": {""Questions"": [""What is the relationship between the speaker's 'path to full EU membership' and the topic of presidential candidates in North Macedonia?"", ""How do the presidential candidates mentioned in the text (Biljana Vankovsk\u00ebn, Maksim Dimitrievski, and Stef\u00e7e Jakimovski) relate to the speaker's claim about needing strong support from strategic partners and friends?"", ""What is the relevance of the North Macedonian presidential election mentioned in the text to the speaker's original claim about EU membership?""]}, ""Only SDSM and the European Identity Coalition, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country along the European path."": {""Questions"": [""What evidence supports the claim that only SDSM and the European Identity Coalition have leadership ambitions to lead the country along the European path?"", ""What specific skills or qualifications does the president of North Macedonia need to possess, according to the author's dilemma?"", ""Can you name three presidential candidates mentioned in the article, and what are their party affiliations?""]}, ""There is no giving up on European identity! (It translates roughly as 'No surrender from European identity!')"": {""Questions"": [""What does the phrase 'No surrender from European identity!' roughly translate to?"", ""What are some of the key issues or attributes that presidential candidates for North Macedonia are focusing on in their campaigns?"", ""What is the current state of the presidential election campaign in North Macedonia, and what are some notable developments or announcements being made by the candidates?""]}}"
322751967223848,"{""Eurovision membership requires strong strategic partner support."": {""Questions"": [""Does Eurovision membership require strong strategic partner support?"", ""What are the concrete offers made by these candidates?"", ""Are there any specific requirements for the next President of North Macedonia?""]}, ""SDSM and the European-minded coalition, led by President Stevo Pendarovski, are best equipped to lead the country on the European path."": {""Questions"": [""Does SDSM have a proven track record in leading the country on the European path?"", ""What specific policies or initiatives has President Stevo Pendarovski implemented to lead the country on the European path?"", ""Are the European-minded coalition's claims of being best equipped to lead the country on the European path supported by evidence or concrete actions?""]}, ""There is no turning back from Europe!"": {""Questions"": [""Why is the statement 'There is no turning back from Europe!' made?"", ""What are the key campaign promises and slogans being offered by the presidential candidates in North Macedonia?"", ""When did the electoral campaign for the presidency of North Macedonia begin?""]}}"
456735526881991,"{""We're seeking major support from our strategic partners and friends on our path to full membership in the EU"": {""Questions"": [""Is the claim 'We're seeking major support from our strategic partners and friends on our path to full membership in the EU' about the country's bid for EU membership?"", ""Is there a mention of a presidential election in North Macedonia in the given text?"", ""Do any of the candidates running for president in the mentioned election have made concrete promises?""]}, ""Only SDSM and the European Identity Coalition, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country along the European path"": {""Questions"": [""Is it true that only SDSM and the European Identity Coalition, together with President Stevo Pendarovski, have leadership ambitions and knowledge to lead the country along the European path?"", ""Are there any other presidential candidates besides Biljana Vankovska (from e Majta), Maksim Dimitrievski (from ZNAM), and Stef\u00e7e Jakimovski (from GROM) that are vying for the presidency?"", ""Do the candidates' promises and slogans have specific, concrete proposals or are they just general statements intended to attract voters?""]}, ""The vote for SDSM and the European Identity Coalition and for Stevo Pendarovski is a vote for the country's European identity"": {""Questions"": [""What is the relationship between voting for SDSM and the European Identity Coalition, and voting for Stevo Pendarovski?"", ""How do the presidential candidates' promises and slogans relate to their efforts to attract voters?"", ""What specific policies or initiatives are being offered by the seven presidential aspirants mentioned in the article?""]}}"
788562043220491,"{""Macedonia has no reserve homeland"": {""Questions"": [""Why is the presidential election in Northern Macedonia significant?"", ""What are the key promises and slogans being made by the presidential candidates?"", ""Can you identify the seven aspirants vying for the presidency, including Biljana Vankovsk\u00eb, Maksim Dimitrievski, and Stef\u00e7e Jakimovski?""]}, ""Macedonia must become an European country"": {""Questions"": [""What is the current status of Macedonia in terms of its European membership?"", ""What are the main promises and slogans being offered by presidential candidates in the election?"", ""What are the qualifications or attributes that the next President of North Macedonia should have?""]}, ""There is no surrender from the future"": {""Questions"": [""What is the exact date when the presidential election campaign in North Macedonia started?"", ""Who are the seven presidential candidates running for office in North Macedonia, and what are their ages?"", ""Do the presidential candidates in North Macedonia offer specific promises or slogans to attract voters?""]}}"
1868951333621553,"{""The choice is between hope and despair!"": {""Questions"": [""What is the main theme presented in the article about the presidential election in North Macedonia?"", ""In what way do candidates aim to attract voters according to the text?"", ""Who are the seven presidential aspirants competing for the post of President, as mentioned in the article?""]}, ""We want every citizen of North Macedonia to stay and build their future here, in our country."": {""Questions"": [""What is the main claim made in the statement?"", ""What are some common characteristics required for the next President of North Macedonia, according to the article?"", ""Do the candidates running for the presidential election focus on making promises and slogans to attract voters?""]}, ""Election on 24 April and 8 May: Let's surround the number 1 and vote for our president Stevo Pendarovski, SDSM, and the Coalition for European Future."": {""Questions"": [""What is the date range for the election mentioned in the claim?"", ""What are the names and parties of the candidates running for President of North Macedonia?"", ""What specific attributes should the future President of North Macedonia possess?""]}}"
441160645064798,"{""Average salary will reach a record high of 1,100 euros in the next four years."": {""Questions"": [""What is the source of this claim about average salary reaching a record high of 1,100 euros in four years?"", ""Is there any evidence to support the claim that average salary will reach a record high of 1,100 euros in the next four years?"", ""Can you find any data or statistics from reputable sources to back up this claim about the future average salary?""]}, ""The minimum pension will be 20,000 denars in 2028, with an average pension of 30,000 denars."": {""Questions"": [""What is the source of the claim that the minimum pension will be 20,000 denars in 2028?"", ""How reliable is the average pension figure of 30,000 denars mentioned in the claim?"", ""Is there any evidence to support the claim that the average pension will be 30,000 denars?""]}, ""No specific figure or time frame is mentioned for the direct support and capital investments for domestic companies."": {""Questions"": [""How much funding is specifically allocated for direct support and capital investments for domestic companies?"", ""What are the concrete proposals offered by each of the seven presidential candidates mentioned (Biljana Vankovsk\u00ebn, Maksim Dimitrievski, Stef\u00e7e Jakimovski)?"", ""What are the key promises or slogans being made by the presidential candidates in their campaigns?""]}}"
2103884769993693,"{""Together we are united for our common goal, European future of our country"": {""Questions"": [""Is the claim that the candidates in the North Macedonian presidential election have started offering a wide range of promises and slogans to attract voters true?"", ""Are the four candidates mentioned (Biljana Vankovska, Maksim Dimitrievski, Stef\u00e7e Jakimovski) actual contestants in the 2023 North Macedonian presidential election?"", ""Do the candidates' main goals align with the claim's statement about a 'common goal, European future' for the country?""]}, ""There is no giving up on the future!"": {""Questions"": [""Is the statement 'There is no giving up on the future!' true?"", ""What attributes should the next President of North Macedonia possess, according to the article?"", ""Do the presidential candidates in North Macedonia's election offer specific promises and slogans?""]}, ""All together with SDSM, Coalition for European Identity and our President Stevo Pendarovski to show that we are all united in our common goal"": {""Questions"": [""What is the political party that the speaker is referring to when they mention 'SDSM'?"", ""In what year did the election campaign for the President of North Macedonia start?"", ""What are some examples of promises and slogans made by presidential candidates in this election?""]}}"
